"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Garden City, KS","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","110.0","59.0","51.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","15.0","D","D","-"
"25 to 34 years","33.0","20.0","13.0","-"
"35 to 44 years","33.0","22.0","11.0","-"
"45 to 54 years","15.0","5.0","10.0","-"
"55 to 64 years","10.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","20.0","9.0","11.0","-"
"Married","80.0","45.0","35.0","-"
"Other","10.0","5.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","9.0","D","D","-"
"Service occupations","8.0","D","D","-"
"Sales and office occupations","12.0","3.0","9.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","D","-"
"Production, transportation, and material moving occupations","31.0","22.0","9.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","8.0","3.0","5.0","-"
"Homemakers","D","-","D","-"
"Students or children","4.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","37.0","21.0","16.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Colombia","D","-","D","-"
"El Salvador","15.0","8.0","7.0","-"
"Guatemala","D","D","-","-"
"Honduras","D","-","D","-"
"Laos","D","-","D","-"
"Lebanon","D","-","D","-"
"Mexico","81.0","46.0","35.0","-"
"Peru","D","D","-","-"
"Somalia","D","D","-","-"
"Taiwan","D","-","D","-"
"Vietnam","D","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
