"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Anderson, SC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","91.0","43.0","48.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","6.0","D","D","-"
"25 to 34 years","26.0","10.0","16.0","-"
"35 to 44 years","37.0","18.0","19.0","-"
"45 to 54 years","11.0","6.0","5.0","-"
"55 to 64 years","7.0","4.0","3.0","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","16.0","6.0","10.0","-"
"Married","66.0","32.0","34.0","-"
"Other","9.0","5.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","15.0","9.0","6.0","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","7.0","4.0","3.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","6.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","54.0","24.0","30.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belgium","D","-","D","-"
"Canada","3.0","D","D","-"
"China","5.0","D","D","-"
"Colombia","4.0","D","D","-"
"Germany","D","D","D","-"
"Haiti","D","D","D","-"
"Hong Kong","D","-","D","-"
"India","14.0","9.0","5.0","-"
"Jordan","D","D","D","-"
"Kenya","D","-","D","-"
"Korea, South","3.0","D","D","-"
"Mexico","11.0","8.0","3.0","-"
"Morocco","D","D","-","-"
"Peru","3.0","D","D","-"
"Philippines","3.0","-","3.0","-"
"South Africa","D","D","D","-"
"Trinidad and Tobago","D","D","D","-"
"Ukraine","3.0","D","D","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","3.0","D","D","-"
"Other","19.0","8.0","11.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
