"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lubbock, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","171.0","82.0","89.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","21.0","11.0","10.0","-"
"25 to 34 years","44.0","17.0","27.0","-"
"35 to 44 years","57.0","28.0","29.0","-"
"45 to 54 years","31.0","18.0","13.0","-"
"55 to 64 years","15.0","D","D","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","34.0","22.0","12.0","-"
"Married","123.0","55.0","68.0","-"
"Other","14.0","5.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","57.0","26.0","31.0","-"
"Service occupations","14.0","4.0","10.0","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","12.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","19.0","6.0","13.0","-"
"Homemakers","D","D","D","-"
"Students or children","15.0","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","58.0","29.0","29.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","D","D","-"
"Canada","D","-","D","-"
"China","4.0","D","D","-"
"El Salvador","D","D","D","-"
"Germany","3.0","D","D","-"
"India","6.0","3.0","3.0","-"
"Israel","D","D","D","-"
"Jordan","D","D","D","-"
"Kenya","3.0","D","D","-"
"Laos","D","-","D","-"
"Mexico","42.0","20.0","22.0","-"
"Nepal","D","D","D","-"
"Netherlands","D","D","-","-"
"Nigeria","3.0","D","D","-"
"Pakistan","D","D","D","-"
"Philippines","47.0","19.0","28.0","-"
"Russia","D","-","D","-"
"Saudi Arabia","4.0","D","D","-"
"Sri Lanka","4.0","D","D","-"
"Vietnam","9.0","D","D","-"
"Other","25.0","16.0","9.0","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
