"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Medford, OR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","135.0","55.0","80.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","12.0","5.0","7.0","-"
"25 to 34 years","30.0","11.0","19.0","-"
"35 to 44 years","40.0","19.0","21.0","-"
"45 to 54 years","23.0","6.0","17.0","-"
"55 to 64 years","20.0","10.0","10.0","-"
"65 years and over","10.0","4.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","8.0","7.0","-"
"Married","98.0","41.0","57.0","-"
"Other","22.0","6.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","23.0","7.0","16.0","-"
"Service occupations","9.0","D","D","-"
"Sales and office occupations","D","D","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","13.0","8.0","5.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","9.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","5.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","73.0","28.0","45.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Algeria","D","-","D","-"
"American Samoa","D","-","D","-"
"Argentina","D","D","D","-"
"Azerbaijan","D","D","D","-"
"Brazil","D","-","D","-"
"Canada","3.0","D","D","-"
"China","6.0","D","D","-"
"Costa Rica","D","D","D","-"
"Czech Republic","D","-","D","-"
"El Salvador","D","D","-","-"
"France","D","-","D","-"
"Germany","3.0","-","3.0","-"
"India","7.0","D","D","-"
"Iran","D","-","D","-"
"Mexico","58.0","29.0","29.0","-"
"Peru","4.0","D","D","-"
"Philippines","13.0","5.0","8.0","-"
"Thailand","D","-","D","-"
"United Kingdom","5.0","-","5.0","-"
"Vietnam","D","-","D","-"
"Other","18.0","5.0","13.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
