"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Moses Lake, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","118.0","64.0","54.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","15.0","D","D","-"
"25 to 34 years","27.0","13.0","14.0","-"
"35 to 44 years","30.0","14.0","16.0","-"
"45 to 54 years","22.0","10.0","12.0","-"
"55 to 64 years","12.0","D","D","-"
"65 years and over","12.0","6.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","24.0","15.0","9.0","-"
"Married","81.0","43.0","38.0","-"
"Other","13.0","6.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","19.0","11.0","8.0","-"
"Service occupations","4.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","7.0","7.0","-","-"
"Construction, extraction, maintenance and repair occupations","3.0","D","D","-"
"Production, transportation, and material moving occupations","14.0","7.0","7.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","18.0","8.0","10.0","-"
"Homemakers","D","-","D","-"
"Students or children","13.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","-","-"
"Unknown","49.0","27.0","22.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","D","D","-","-"
"Canada","3.0","D","D","-"
"El Salvador","D","-","D","-"
"Estonia","D","D","-","-"
"India","5.0","D","D","-"
"Kenya","3.0","D","D","-"
"Korea, South","D","D","D","-"
"Mexico","73.0","41.0","32.0","-"
"Moldova","D","D","-","-"
"Nepal","D","-","D","-"
"Philippines","6.0","D","D","-"
"Russia","11.0","5.0","6.0","-"
"Soviet Union (former)","D","D","D","-"
"Sweden","D","D","-","-"
"Uganda","D","D","D","-"
"Ukraine","4.0","D","D","-"
"Vietnam","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
