"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Odessa, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","262.0","139.0","123.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","27.0","14.0","13.0","-"
"25 to 34 years","76.0","33.0","43.0","-"
"35 to 44 years","70.0","37.0","33.0","-"
"45 to 54 years","39.0","23.0","16.0","-"
"55 to 64 years","35.0","22.0","13.0","-"
"65 years and over","15.0","10.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","54.0","25.0","29.0","-"
"Married","173.0","102.0","71.0","-"
"Other","35.0","12.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","21.0","12.0","9.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","8.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","22.0","16.0","6.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","19.0","7.0","12.0","-"
"Homemakers","D","D","3.0","-"
"Students or children","9.0","3.0","6.0","-"
"Retirees","4.0","D","D","-"
"Unemployed","D","D","D","-"
"Unknown","188.0","99.0","89.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","D","-","D","-"
"Cuba","D","-","D","-"
"Hong Kong","D","D","-","-"
"India","6.0","D","D","-"
"Jamaica","D","-","D","-"
"Korea, South","3.0","D","D","-"
"Mexico","226.0","121.0","105.0","-"
"Morocco","D","D","-","-"
"Nicaragua","D","D","-","-"
"Pakistan","D","D","-","-"
"Peru","D","D","-","-"
"Philippines","12.0","7.0","5.0","-"
"Vietnam","5.0","D","D","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
