"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Pahrump, NV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","55.0","24.0","31.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","4.0","D","-"
"25 to 34 years","12.0","5.0","7.0","-"
"35 to 44 years","17.0","6.0","11.0","-"
"45 to 54 years","8.0","5.0","3.0","-"
"55 to 64 years","9.0","4.0","5.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","8.0","D","D","-"
"Married","41.0","16.0","25.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","5.0","D","D","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","6.0","-","6.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","3.0","3.0","-","-"
"Military","D","D","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","-","-","-","-"
"Retirees","D","-","D","-"
"Unemployed","4.0","D","D","-"
"Unknown","25.0","11.0","14.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"Belgium","D","D","-","-"
"Bulgaria","D","-","D","-"
"Canada","D","D","-","-"
"China","D","-","D","-"
"Cuba","D","D","-","-"
"Czechoslovakia (former)","D","D","-","-"
"Ecuador","D","-","D","-"
"El Salvador","D","D","-","-"
"French Polynesia","D","D","-","-"
"Germany","3.0","D","D","-"
"Japan","D","-","D","-"
"Mexico","27.0","14.0","13.0","-"
"Netherlands","D","-","D","-"
"Pakistan","D","D","-","-"
"Philippines","7.0","-","7.0","-"
"Seychelles","D","-","D","-"
"Singapore","D","-","D","-"
"United Kingdom","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
