"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Pittsfield, MA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","111.0","54.0","57.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","6.0","-"
"25 to 34 years","28.0","12.0","16.0","-"
"35 to 44 years","27.0","15.0","12.0","-"
"45 to 54 years","33.0","16.0","17.0","-"
"55 to 64 years","14.0","8.0","6.0","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","8.0","9.0","-"
"Married","69.0","34.0","35.0","-"
"Other","25.0","12.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","25.0","14.0","11.0","-"
"Service occupations","9.0","5.0","4.0","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","6.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","8.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","5.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","-","-","-","-"
"Unknown","59.0","27.0","32.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","5.0","D","D","-"
"Canada","5.0","D","D","-"
"China","6.0","D","D","-"
"Colombia","9.0","5.0","4.0","-"
"Cote d'Ivoire","4.0","D","D","-"
"Cuba","D","-","D","-"
"Dominican Republic","D","D","D","-"
"Ecuador","5.0","-","5.0","-"
"El Salvador","4.0","D","D","-"
"France","D","D","-","-"
"Ghana","11.0","8.0","3.0","-"
"India","3.0","3.0","-","-"
"Israel","D","D","D","-"
"Peru","3.0","-","3.0","-"
"Philippines","3.0","D","D","-"
"Portugal","D","D","D","-"
"Russia","5.0","D","D","-"
"Thailand","3.0","D","D","-"
"United Kingdom","13.0","6.0","7.0","-"
"Vietnam","5.0","D","D","-"
"Other","17.0","11.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
