"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Providence-New Bedford-Fall River, RI-MA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","3470.0","1675.0","1795.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","317.0","146.0","171.0","-"
"25 to 34 years","887.0","404.0","483.0","-"
"35 to 44 years","937.0","490.0","447.0","-"
"45 to 54 years","681.0","334.0","347.0","-"
"55 to 64 years","408.0","206.0","202.0","-"
"65 years and over","240.0","95.0","145.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","817.0","419.0","398.0","-"
"Married","2139.0","1065.0","1074.0","-"
"Other","514.0","191.0","323.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","394.0","211.0","183.0","-"
"Service occupations","205.0","86.0","119.0","-"
"Sales and office occupations","134.0","39.0","95.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","57.0","53.0","4.0","-"
"Production, transportation, and material moving occupations","451.0","265.0","186.0","-"
"Military","15.0","11.0","4.0","-"
"No occupation/not working outside home","522.0","183.0","339.0","-"
"Homemakers","43.0","D","D","-"
"Students or children","254.0","99.0","155.0","-"
"Retirees","63.0","D","D","-"
"Unemployed","162.0","54.0","108.0","-"
"Unknown","1692.0","827.0","865.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bolivia","38.0","17.0","21.0","-"
"Brazil","95.0","38.0","57.0","-"
"Cambodia","101.0","41.0","60.0","-"
"Canada","35.0","17.0","18.0","-"
"Cape Verde","264.0","110.0","154.0","-"
"China","82.0","28.0","54.0","-"
"Colombia","145.0","60.0","85.0","-"
"Dominican Republic","560.0","267.0","293.0","-"
"El Salvador","37.0","15.0","22.0","-"
"Guatemala","189.0","101.0","88.0","-"
"Haiti","69.0","37.0","32.0","-"
"India","120.0","65.0","55.0","-"
"Laos","38.0","18.0","20.0","-"
"Lebanon","50.0","29.0","21.0","-"
"Liberia","138.0","57.0","81.0","-"
"Mexico","49.0","28.0","21.0","-"
"Nigeria","84.0","55.0","29.0","-"
"Philippines","61.0","21.0","40.0","-"
"Portugal","488.0","247.0","241.0","-"
"Vietnam","57.0","22.0","35.0","-"
"Other","766.0","400.0","366.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
