"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Battle Creek, MI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","76.0","38.0","38.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","11.0","8.0","3.0","-"
"25 to 34 years","25.0","8.0","17.0","-"
"35 to 44 years","20.0","10.0","10.0","-"
"45 to 54 years","12.0","7.0","5.0","-"
"55 to 64 years","3.0","D","D","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","D","D","-"
"Married","56.0","28.0","28.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","8.0","5.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","3.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","14.0","9.0","5.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","15.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","9.0","4.0","5.0","-"
"Retirees","-","-","-","-"
"Unemployed","D","3.0","D","-"
"Unknown","26.0","11.0","15.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Burma","6.0","3.0","3.0","-"
"Canada","5.0","D","D","-"
"China","5.0","D","D","-"
"Colombia","D","-","D","-"
"Dominican Republic","D","D","-","-"
"El Salvador","D","-","D","-"
"India","24.0","13.0","11.0","-"
"Kenya","D","D","D","-"
"Korea, South","D","D","-","-"
"Lebanon","D","-","D","-"
"Mexico","10.0","6.0","4.0","-"
"Peru","D","-","D","-"
"Philippines","3.0","D","D","-"
"Portugal","D","D","-","-"
"Romania","D","D","D","-"
"Serbia and Montenegro","D","D","-","-"
"Switzerland","D","-","D","-"
"Ukraine","D","-","D","-"
"Vietnam","3.0","D","D","-"
"Yemen","3.0","D","D","-"
"Other","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
