"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Racine, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","140.0","74.0","66.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","5.0","5.0","-"
"25 to 34 years","40.0","20.0","20.0","-"
"35 to 44 years","33.0","20.0","13.0","-"
"45 to 54 years","33.0","17.0","16.0","-"
"55 to 64 years","18.0","9.0","9.0","-"
"65 years and over","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","16.0","10.0","6.0","-"
"Married","116.0","59.0","57.0","-"
"Other","8.0","5.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","23.0","11.0","12.0","-"
"Service occupations","6.0","3.0","3.0","-"
"Sales and office occupations","D","D","-","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","5.0","5.0","-","-"
"Production, transportation, and material moving occupations","11.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","16.0","4.0","12.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","-","D","-"
"Unknown","75.0","39.0","36.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bolivia","3.0","D","D","-"
"Bulgaria","D","-","D","-"
"Canada","5.0","D","D","-"
"China","7.0","3.0","4.0","-"
"Colombia","D","-","D","-"
"Ethiopia","D","D","-","-"
"Finland","D","D","-","-"
"France","D","-","D","-"
"Germany","D","-","D","-"
"Honduras","D","D","-","-"
"Hong Kong","D","D","-","-"
"India","20.0","12.0","8.0","-"
"Jordan","4.0","D","D","-"
"Kuwait","3.0","3.0","-","-"
"Mexico","49.0","34.0","15.0","-"
"Philippines","7.0","D","D","-"
"Poland","7.0","D","D","-"
"Serbia and Montenegro","6.0","D","D","-"
"Sri Lanka","D","D","D","-"
"Thailand","D","-","D","-"
"Other","17.0","8.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
