"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Reading, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","570.0","278.0","292.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","66.0","26.0","40.0","-"
"25 to 34 years","170.0","79.0","91.0","-"
"35 to 44 years","157.0","79.0","78.0","-"
"45 to 54 years","77.0","41.0","36.0","-"
"55 to 64 years","65.0","38.0","27.0","-"
"65 years and over","35.0","15.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","136.0","63.0","73.0","-"
"Married","370.0","183.0","187.0","-"
"Other","64.0","32.0","32.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","40.0","18.0","22.0","-"
"Service occupations","18.0","8.0","10.0","-"
"Sales and office occupations","14.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","50.0","27.0","23.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","59.0","24.0","35.0","-"
"Homemakers","D","-","D","-"
"Students or children","39.0","15.0","24.0","-"
"Retirees","D","D","D","-"
"Unemployed","15.0","D","D","-"
"Unknown","382.0","188.0","194.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","7.0","D","D","-"
"China","9.0","3.0","6.0","-"
"Colombia","27.0","10.0","17.0","-"
"Dominican Republic","158.0","78.0","80.0","-"
"Ecuador","7.0","D","D","-"
"Egypt","6.0","D","D","-"
"El Salvador","16.0","7.0","9.0","-"
"Guatemala","6.0","D","D","-"
"Guinea","8.0","D","D","-"
"Haiti","19.0","7.0","12.0","-"
"India","36.0","20.0","16.0","-"
"Jamaica","13.0","3.0","10.0","-"
"Mexico","69.0","43.0","26.0","-"
"Philippines","15.0","7.0","8.0","-"
"Poland","14.0","9.0","5.0","-"
"Romania","15.0","8.0","7.0","-"
"Sierra Leone","10.0","4.0","6.0","-"
"Trinidad and Tobago","10.0","6.0","4.0","-"
"United Kingdom","9.0","5.0","4.0","-"
"Vietnam","23.0","5.0","18.0","-"
"Other","93.0","45.0","48.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
