"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Richmond, VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1633.0","801.0","832.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","148.0","70.0","78.0","-"
"25 to 34 years","448.0","196.0","252.0","-"
"35 to 44 years","527.0","283.0","244.0","-"
"45 to 54 years","292.0","148.0","144.0","-"
"55 to 64 years","151.0","76.0","75.0","-"
"65 years and over","67.0","28.0","39.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","306.0","171.0","135.0","-"
"Married","1167.0","567.0","600.0","-"
"Other","160.0","63.0","97.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","302.0","159.0","143.0","-"
"Service occupations","85.0","38.0","47.0","-"
"Sales and office occupations","81.0","36.0","45.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","14.0","D","-"
"Production, transportation, and material moving occupations","81.0","40.0","41.0","-"
"Military","18.0","D","D","-"
"No occupation/not working outside home","204.0","72.0","132.0","-"
"Homemakers","29.0","D","D","-"
"Students or children","145.0","53.0","92.0","-"
"Retirees","10.0","D","D","-"
"Unemployed","20.0","10.0","10.0","-"
"Unknown","845.0","431.0","414.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","28.0","14.0","14.0","-"
"Bangladesh","23.0","16.0","7.0","-"
"Bosnia and Herzegovina","32.0","17.0","15.0","-"
"Brazil","27.0","5.0","22.0","-"
"Cambodia","25.0","9.0","16.0","-"
"Canada","29.0","12.0","17.0","-"
"China","65.0","32.0","33.0","-"
"Colombia","36.0","13.0","23.0","-"
"El Salvador","62.0","37.0","25.0","-"
"India","274.0","143.0","131.0","-"
"Jamaica","32.0","13.0","19.0","-"
"Korea, South","56.0","25.0","31.0","-"
"Mexico","50.0","33.0","17.0","-"
"Nigeria","35.0","20.0","15.0","-"
"Pakistan","30.0","14.0","16.0","-"
"Philippines","60.0","17.0","43.0","-"
"Russia","30.0","11.0","19.0","-"
"Sudan","31.0","24.0","7.0","-"
"United Kingdom","39.0","23.0","16.0","-"
"Vietnam","103.0","36.0","67.0","-"
"Other","562.0","285.0","277.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
