"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Saint George, UT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","60.0","24.0","36.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","-","D","-"
"25 to 34 years","23.0","11.0","12.0","-"
"35 to 44 years","23.0","9.0","14.0","-"
"45 to 54 years","5.0","D","D","-"
"55 to 64 years","6.0","-","6.0","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","-","D","-"
"Married","52.0","D","D","-"
"Other","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","10.0","D","D","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","4.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","4.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","31.0","15.0","16.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","3.0","D","D","-"
"Brazil","D","-","D","-"
"Burma","D","D","-","-"
"Cambodia","D","D","-","-"
"Canada","4.0","D","D","-"
"Chile","D","D","-","-"
"Ecuador","D","-","D","-"
"El Salvador","D","D","D","-"
"France","D","-","D","-"
"Germany","D","D","-","-"
"Hong Kong","D","-","D","-"
"India","5.0","D","D","-"
"Iran","D","-","D","-"
"Kenya","D","-","D","-"
"Mexico","13.0","8.0","5.0","-"
"Philippines","4.0","D","D","-"
"Samoa","D","-","D","-"
"Taiwan","3.0","D","D","-"
"United Kingdom","D","-","D","-"
"Vietnam","3.0","D","D","-"
"Other","9.0","4.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
