"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Southern Pines-Pinehurst, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","65.0","25.0","40.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","D","-"
"25 to 34 years","13.0","5.0","8.0","-"
"35 to 44 years","21.0","6.0","15.0","-"
"45 to 54 years","13.0","5.0","8.0","-"
"55 to 64 years","10.0","5.0","5.0","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","6.0","D","D","-"
"Married","50.0","22.0","28.0","-"
"Other","9.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","4.0","9.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","6.0","6.0","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","8.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","-","D","-"
"Retirees","3.0","D","D","-"
"Unemployed","-","-","-","-"
"Unknown","32.0","12.0","20.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belgium","D","-","D","-"
"Bermuda","D","D","-","-"
"Brazil","3.0","-","3.0","-"
"Burma","D","D","-","-"
"Canada","4.0","D","D","-"
"China","3.0","-","3.0","-"
"Finland","D","-","D","-"
"Germany","8.0","D","D","-"
"India","D","-","D","-"
"Ireland","D","-","D","-"
"Laos","D","-","D","-"
"Latvia","D","-","D","-"
"Mexico","15.0","12.0","3.0","-"
"Nigeria","3.0","3.0","-","-"
"Panama","D","-","D","-"
"Peru","3.0","D","D","-"
"Philippines","5.0","D","D","-"
"Poland","D","D","D","-"
"Thailand","D","-","D","-"
"Vietnam","3.0","-","3.0","-"
"Other","3.0","-","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
