"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: State College, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","172.0","86.0","86.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","17.0","D","D","-"
"25 to 34 years","37.0","20.0","17.0","-"
"35 to 44 years","52.0","24.0","28.0","-"
"45 to 54 years","48.0","26.0","22.0","-"
"55 to 64 years","13.0","3.0","10.0","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","30.0","19.0","11.0","-"
"Married","123.0","59.0","64.0","-"
"Other","19.0","8.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","22.0","13.0","9.0","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","9.0","3.0","6.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","26.0","13.0","13.0","-"
"Homemakers","D","-","D","-"
"Students or children","20.0","13.0","7.0","-"
"Retirees","D","-","D","-"
"Unemployed","-","-","-","-"
"Unknown","102.0","53.0","49.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","D","D","-"
"Bulgaria","5.0","D","D","-"
"Burma","3.0","D","D","-"
"Canada","9.0","5.0","4.0","-"
"China","19.0","10.0","9.0","-"
"Colombia","D","D","D","-"
"Germany","4.0","D","D","-"
"Ghana","4.0","D","D","-"
"India","16.0","7.0","9.0","-"
"Jamaica","D","D","D","-"
"Kazakhstan","19.0","9.0","10.0","-"
"Korea, South","5.0","D","D","-"
"Moldova","3.0","D","D","-"
"Romania","3.0","D","D","-"
"Russia","9.0","3.0","6.0","-"
"Soviet Union (former)","7.0","4.0","3.0","-"
"Taiwan","4.0","D","D","-"
"Turkey","3.0","3.0","-","-"
"Ukraine","8.0","3.0","5.0","-"
"United Kingdom","6.0","D","D","-"
"Other","39.0","18.0","21.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
