"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Syracuse, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","534.0","265.0","269.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","61.0","36.0","25.0","-"
"25 to 34 years","125.0","59.0","66.0","-"
"35 to 44 years","172.0","92.0","80.0","-"
"45 to 54 years","90.0","43.0","47.0","-"
"55 to 64 years","47.0","19.0","28.0","-"
"65 years and over","39.0","16.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","139.0","90.0","49.0","-"
"Married","332.0","154.0","178.0","-"
"Other","63.0","21.0","42.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","79.0","41.0","38.0","-"
"Service occupations","27.0","9.0","18.0","-"
"Sales and office occupations","14.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","50.0","28.0","22.0","-"
"Military","3.0","D","D","-"
"No occupation/not working outside home","99.0","44.0","55.0","-"
"Homemakers","20.0","D","D","-"
"Students or children","60.0","35.0","25.0","-"
"Retirees","6.0","D","D","-"
"Unemployed","13.0","D","D","-"
"Unknown","258.0","134.0","124.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","12.0","5.0","7.0","-"
"Bosnia and Herzegovina","45.0","22.0","23.0","-"
"Canada","10.0","6.0","4.0","-"
"China","23.0","12.0","11.0","-"
"Cuba","43.0","21.0","22.0","-"
"Dominican Republic","11.0","D","D","-"
"India","27.0","13.0","14.0","-"
"Iran","7.0","D","D","-"
"Jamaica","11.0","4.0","7.0","-"
"Jordan","8.0","D","D","-"
"Kazakhstan","8.0","4.0","4.0","-"
"Korea, South","11.0","5.0","6.0","-"
"Pakistan","9.0","D","D","-"
"Philippines","10.0","3.0","7.0","-"
"Russia","14.0","4.0","10.0","-"
"Somalia","8.0","D","D","-"
"Sudan","27.0","22.0","5.0","-"
"Ukraine","31.0","14.0","17.0","-"
"United Kingdom","11.0","4.0","7.0","-"
"Vietnam","37.0","18.0","19.0","-"
"Other","170.0","87.0","83.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
