"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Torrington, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","256.0","109.0","147.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","24.0","12.0","12.0","-"
"25 to 34 years","53.0","18.0","35.0","-"
"35 to 44 years","90.0","40.0","50.0","-"
"45 to 54 years","41.0","18.0","23.0","-"
"55 to 64 years","31.0","16.0","15.0","-"
"65 years and over","17.0","5.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","42.0","22.0","20.0","-"
"Married","185.0","79.0","106.0","-"
"Other","29.0","8.0","21.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","21.0","10.0","11.0","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","16.0","8.0","8.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","19.0","4.0","15.0","-"
"Homemakers","4.0","-","4.0","-"
"Students or children","11.0","4.0","7.0","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","189.0","79.0","110.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","17.0","9.0","8.0","-"
"Brazil","12.0","6.0","6.0","-"
"Canada","5.0","D","D","-"
"China","6.0","D","D","-"
"Colombia","9.0","4.0","5.0","-"
"Dominican Republic","20.0","6.0","14.0","-"
"Ecuador","11.0","8.0","3.0","-"
"Egypt","5.0","D","D","-"
"Germany","5.0","D","D","-"
"Guatemala","5.0","D","D","-"
"India","9.0","5.0","4.0","-"
"Macedonia","6.0","D","D","-"
"Netherlands","7.0","D","D","-"
"Pakistan","5.0","D","D","-"
"Philippines","14.0","3.0","11.0","-"
"Poland","8.0","4.0","4.0","-"
"Serbia and Montenegro","8.0","4.0","4.0","-"
"Ukraine","7.0","D","D","-"
"United Kingdom","13.0","4.0","9.0","-"
"Vietnam","13.0","3.0","10.0","-"
"Other","71.0","30.0","41.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
