"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Utica-Rome, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","334.0","146.0","188.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","42.0","16.0","26.0","-"
"25 to 34 years","73.0","33.0","40.0","-"
"35 to 44 years","90.0","41.0","49.0","-"
"45 to 54 years","72.0","32.0","40.0","-"
"55 to 64 years","35.0","14.0","21.0","-"
"65 years and over","22.0","10.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","76.0","39.0","37.0","-"
"Married","209.0","97.0","112.0","-"
"Other","49.0","10.0","39.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","28.0","14.0","14.0","-"
"Service occupations","17.0","4.0","13.0","-"
"Sales and office occupations","D","D","4.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","81.0","35.0","46.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","50.0","19.0","31.0","-"
"Homemakers","D","-","D","-"
"Students or children","23.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","22.0","10.0","12.0","-"
"Unknown","150.0","70.0","80.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","12.0","6.0","6.0","-"
"Belarus","9.0","4.0","5.0","-"
"Bosnia and Herzegovina","139.0","55.0","84.0","-"
"Burma","5.0","D","D","-"
"Cambodia","5.0","D","D","-"
"China","3.0","D","D","-"
"Dominican Republic","17.0","7.0","10.0","-"
"Ecuador","3.0","D","D","-"
"El Salvador","4.0","D","D","-"
"India","9.0","6.0","3.0","-"
"Iran","5.0","D","D","-"
"Italy","4.0","D","D","-"
"Lebanon","4.0","D","D","-"
"Pakistan","5.0","D","D","-"
"Poland","4.0","D","D","-"
"Russia","6.0","D","D","-"
"Serbia and Montenegro","7.0","4.0","3.0","-"
"Turkey","4.0","D","D","-"
"Ukraine","14.0","4.0","10.0","-"
"Vietnam","22.0","8.0","14.0","-"
"Other","53.0","29.0","24.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
