"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Visalia-Porterville, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","919.0","464.0","455.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","120.0","47.0","73.0","-"
"25 to 34 years","232.0","108.0","124.0","-"
"35 to 44 years","216.0","104.0","112.0","-"
"45 to 54 years","140.0","82.0","58.0","-"
"55 to 64 years","131.0","73.0","58.0","-"
"65 years and over","80.0","50.0","30.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","189.0","86.0","103.0","-"
"Married","632.0","336.0","296.0","-"
"Other","98.0","42.0","56.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","99.0","51.0","48.0","-"
"Service occupations","45.0","15.0","30.0","-"
"Sales and office occupations","37.0","D","D","-"
"Farming, fishing, and forestry occupations","36.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","28.0","28.0","-","-"
"Production, transportation, and material moving occupations","145.0","105.0","40.0","-"
"Military","3.0","D","D","-"
"No occupation/not working outside home","199.0","62.0","137.0","-"
"Homemakers","47.0","D","D","-"
"Students or children","105.0","33.0","72.0","-"
"Retirees","29.0","20.0","9.0","-"
"Unemployed","18.0","D","D","-"
"Unknown","327.0","165.0","162.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","3.0","D","D","-"
"China","14.0","7.0","7.0","-"
"Colombia","4.0","D","D","-"
"El Salvador","16.0","8.0","8.0","-"
"Guatemala","7.0","D","D","-"
"India","40.0","24.0","16.0","-"
"Indonesia","3.0","D","D","-"
"Jordan","3.0","D","D","-"
"Laos","9.0","5.0","4.0","-"
"Mexico","641.0","335.0","306.0","-"
"Nicaragua","3.0","D","D","-"
"Pakistan","5.0","D","D","-"
"Philippines","62.0","23.0","39.0","-"
"Portugal","16.0","7.0","9.0","-"
"South Africa","5.0","D","D","-"
"Syria","4.0","D","D","-"
"Thailand","10.0","D","D","-"
"United Kingdom","4.0","D","D","-"
"Vietnam","6.0","D","D","-"
"Yemen","15.0","9.0","6.0","-"
"Other","47.0","19.0","28.0","-"
"Unknown","2.0","2.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
