"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Carson City, NV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","67.0","28.0","39.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","D","-"
"25 to 34 years","19.0","8.0","11.0","-"
"35 to 44 years","25.0","14.0","11.0","-"
"45 to 54 years","10.0","D","D","-"
"55 to 64 years","6.0","-","6.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","9.0","5.0","4.0","-"
"Married","47.0","20.0","27.0","-"
"Other","11.0","3.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","6.0","-","6.0","-"
"Service occupations","10.0","4.0","6.0","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","6.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","35.0","16.0","19.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","-","D","-"
"Canada","D","-","D","-"
"China","3.0","-","3.0","-"
"Colombia","D","-","D","-"
"El Salvador","D","D","-","-"
"Ethiopia","3.0","-","3.0","-"
"India","4.0","D","D","-"
"Mexico","36.0","16.0","20.0","-"
"Morocco","D","D","-","-"
"Nepal","D","-","D","-"
"Netherlands","D","-","D","-"
"Nicaragua","6.0","D","D","-"
"Peru","D","D","-","-"
"Philippines","5.0","D","D","-"
"Slovakia","D","D","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
