"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Charleston, WV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","76.0","36.0","40.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","3.0","4.0","-"
"25 to 34 years","20.0","11.0","9.0","-"
"35 to 44 years","22.0","11.0","11.0","-"
"45 to 54 years","13.0","7.0","6.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","8.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","19.0","12.0","7.0","-"
"Married","44.0","21.0","23.0","-"
"Other","13.0","3.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","7.0","D","D","-"
"Service occupations","D","D","-","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","12.0","5.0","7.0","-"
"Homemakers","D","-","D","-"
"Students or children","8.0","5.0","3.0","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","52.0","25.0","27.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","D","-","-"
"Brazil","3.0","D","D","-"
"Burma","D","D","-","-"
"China","7.0","4.0","3.0","-"
"Egypt","D","D","-","-"
"Ethiopia","7.0","D","D","-"
"Ghana","D","D","D","-"
"India","7.0","3.0","4.0","-"
"Iran","4.0","-","4.0","-"
"Ireland","D","D","-","-"
"Jordan","D","D","-","-"
"Mexico","3.0","D","D","-"
"Nigeria","4.0","D","D","-"
"Pakistan","D","D","D","-"
"Philippines","3.0","-","3.0","-"
"Russia","D","-","D","-"
"Spain","D","D","D","-"
"Syria","4.0","D","D","-"
"United Kingdom","D","D","-","-"
"Vietnam","3.0","D","D","-"
"Other","12.0","4.0","8.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
