"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Clewiston, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","132.0","54.0","78.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","22.0","7.0","15.0","-"
"25 to 34 years","24.0","10.0","14.0","-"
"35 to 44 years","26.0","9.0","17.0","-"
"45 to 54 years","24.0","12.0","12.0","-"
"55 to 64 years","20.0","13.0","7.0","-"
"65 years and over","16.0","3.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","29.0","12.0","17.0","-"
"Married","83.0","35.0","48.0","-"
"Other","20.0","7.0","13.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","13.0","4.0","9.0","-"
"Service occupations","3.0","D","D","-"
"Sales and office occupations","7.0","D","D","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","7.0","7.0","-","-"
"Military","-","-","-","-"
"No occupation/not working outside home","21.0","7.0","14.0","-"
"Homemakers","D","-","D","-"
"Students or children","11.0","D","D","-"
"Retirees","D","3.0","D","-"
"Unemployed","5.0","D","D","-"
"Unknown","78.0","31.0","47.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Aruba","D","D","-","-"
"Barbados","4.0","-","4.0","-"
"Brazil","D","-","D","-"
"Canada","D","D","-","-"
"Chile","D","-","D","-"
"Colombia","3.0","D","D","-"
"Cuba","37.0","16.0","21.0","-"
"Ecuador","D","D","-","-"
"El Salvador","5.0","D","D","-"
"Guatemala","D","D","-","-"
"India","4.0","D","D","-"
"Jamaica","8.0","D","D","-"
"Mexico","56.0","22.0","34.0","-"
"Nicaragua","D","-","D","-"
"Philippines","D","-","D","-"
"Sri Lanka","D","-","D","-"
"Tajikistan","D","D","-","-"
"United Kingdom","D","-","D","-"
"Unknown","1.0","1.0","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
