"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Columbia, TN","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","59.0","29.0","30.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","-","-"
"25 to 34 years","21.0","5.0","16.0","-"
"35 to 44 years","21.0","13.0","8.0","-"
"45 to 54 years","11.0","D","D","-"
"55 to 64 years","D","D","D","-"
"65 years and over","-","-","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","D","D","-","-"
"Married","53.0","D","D","-"
"Other","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","D","D","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","8.0","3.0","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","6.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","5.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","35.0","17.0","18.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","D","D","D","-"
"Bolivia","D","D","D","-"
"Brazil","3.0","D","D","-"
"Chile","D","D","-","-"
"China","D","-","D","-"
"Colombia","D","-","D","-"
"Costa Rica","D","-","D","-"
"Cote d'Ivoire","D","-","D","-"
"Cuba","D","D","-","-"
"Dominican Republic","D","D","D","-"
"Germany","D","-","D","-"
"India","7.0","4.0","3.0","-"
"Kazakhstan","3.0","-","3.0","-"
"Kyrgyzstan","D","D","D","-"
"Mexico","7.0","D","D","-"
"Pakistan","D","D","-","-"
"Philippines","3.0","-","3.0","-"
"Russia","D","D","-","-"
"Soviet Union (former)","D","D","D","-"
"Ukraine","4.0","D","D","-"
"Other","11.0","6.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
