"Persons Naturalized During Fiscal Year 2009","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Alexandria, LA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","69.0","33.0","36.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","9.0","D","D","-"
"25 to 34 years","20.0","9.0","11.0","-"
"35 to 44 years","21.0","12.0","9.0","-"
"45 to 54 years","11.0","5.0","6.0","-"
"55 to 64 years","D","D","D","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","15.0","D","D","-"
"Married","49.0","25.0","24.0","-"
"Other","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","D","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","D","-","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","5.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","7.0","D","D","-"
"Homemakers","-","-","-","-"
"Students or children","D","D","D","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","42.0","18.0","24.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Algeria","D","D","-","-"
"Belize","D","D","-","-"
"China","D","D","D","-"
"Colombia","D","D","-","-"
"Germany","4.0","D","D","-"
"India","12.0","4.0","8.0","-"
"Iran","D","-","D","-"
"Israel","D","D","-","-"
"Jordan","6.0","D","D","-"
"Korea, South","D","D","-","-"
"Laos","D","-","D","-"
"Mexico","D","D","-","-"
"Nicaragua","D","D","-","-"
"Pakistan","3.0","D","D","-"
"Philippines","9.0","3.0","6.0","-"
"Russia","D","-","D","-"
"Saudi Arabia","D","D","-","-"
"Soviet Union (former)","D","D","-","-"
"Thailand","4.0","D","D","-"
"Vietnam","10.0","6.0","4.0","-"
"Other","3.0","-","3.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
