"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Eugene-Springfield, OR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","209.0","84.0","125.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","16.0","6.0","10.0","-"
"25 to 34 years","49.0","20.0","29.0","-"
"35 to 44 years","63.0","23.0","40.0","-"
"45 to 54 years","44.0","15.0","29.0","-"
"55 to 64 years","23.0","12.0","11.0","-"
"65 years and over","14.0","8.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","29.0","15.0","14.0","-"
"Married","152.0","59.0","93.0","-"
"Other","28.0","10.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","53.0","27.0","26.0","-"
"Service occupations","24.0","8.0","16.0","-"
"Sales and office occupations","D","D","8.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","14.0","7.0","7.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","70.0","24.0","46.0","-"
"Homemakers","8.0","-","8.0","-"
"Students or children","37.0","12.0","25.0","-"
"Retirees","7.0","4.0","3.0","-"
"Unemployed","18.0","8.0","10.0","-"
"Unknown","34.0","12.0","22.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","D","-","-"
"Brazil","3.0","D","D","-"
"Bulgaria","3.0","D","D","-"
"Canada","15.0","7.0","8.0","-"
"China","16.0","3.0","13.0","-"
"Colombia","3.0","D","D","-"
"Costa Rica","D","D","D","-"
"El Salvador","6.0","D","D","-"
"Germany","7.0","4.0","3.0","-"
"India","12.0","6.0","6.0","-"
"Iran","3.0","D","D","-"
"Japan","3.0","D","D","-"
"Korea, South","6.0","D","D","-"
"Mexico","44.0","17.0","27.0","-"
"Peru","6.0","D","D","-"
"Philippines","8.0","D","D","-"
"Russia","7.0","D","D","-"
"Thailand","4.0","-","4.0","-"
"Ukraine","4.0","D","D","-"
"United Kingdom","8.0","3.0","5.0","-"
"Other","47.0","24.0","23.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
