"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Amarillo, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","276.0","130.0","146.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","28.0","14.0","14.0","-"
"25 to 34 years","92.0","46.0","46.0","-"
"35 to 44 years","72.0","28.0","44.0","-"
"45 to 54 years","50.0","27.0","23.0","-"
"55 to 64 years","28.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","66.0","36.0","30.0","-"
"Married","184.0","83.0","101.0","-"
"Other","26.0","11.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","51.0","23.0","28.0","-"
"Service occupations","48.0","19.0","29.0","-"
"Sales and office occupations","23.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","6.0","D","D","-"
"Production, transportation, and material moving occupations","58.0","41.0","17.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","50.0","12.0","38.0","-"
"Homemakers","17.0","-","17.0","-"
"Students or children","20.0","7.0","13.0","-"
"Retirees","D","-","D","-"
"Unemployed","D","5.0","D","-"
"Unknown","35.0","18.0","17.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","D","D","-"
"Bosnia and Herzegovina","3.0","D","D","-"
"Burma","3.0","D","D","-"
"Canada","5.0","D","D","-"
"China","D","D","D","-"
"Dominican Republic","3.0","D","D","-"
"Ghana","4.0","D","D","-"
"Honduras","5.0","D","D","-"
"India","14.0","6.0","8.0","-"
"Iran","14.0","7.0","7.0","-"
"Laos","13.0","5.0","8.0","-"
"Lebanon","4.0","D","D","-"
"Mexico","90.0","45.0","45.0","-"
"Pakistan","4.0","D","D","-"
"Philippines","4.0","D","D","-"
"Somalia","15.0","11.0","4.0","-"
"South Africa","3.0","D","D","-"
"Sudan","18.0","14.0","4.0","-"
"Thailand","5.0","D","D","-"
"Vietnam","37.0","13.0","24.0","-"
"Other","27.0","6.0","21.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
