"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Greenville, NC","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","96.0","48.0","48.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","10.0","D","D","-"
"25 to 34 years","29.0","13.0","16.0","-"
"35 to 44 years","32.0","16.0","16.0","-"
"45 to 54 years","14.0","8.0","6.0","-"
"55 to 64 years","7.0","D","D","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","20.0","D","D","-"
"Married","70.0","33.0","37.0","-"
"Other","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","34.0","19.0","15.0","-"
"Service occupations","10.0","D","D","-"
"Sales and office occupations","8.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","4.0","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","25.0","12.0","13.0","-"
"Homemakers","D","D","D","-"
"Students or children","13.0","7.0","6.0","-"
"Retirees","D","-","D","-"
"Unemployed","8.0","D","D","-"
"Unknown","11.0","8.0","3.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","D","D","D","-"
"Bangladesh","D","D","D","-"
"Bosnia and Herzegovina","D","D","-","-"
"Brazil","3.0","-","3.0","-"
"Burma","D","D","-","-"
"Canada","D","-","D","-"
"China","12.0","7.0","5.0","-"
"Colombia","5.0","D","D","-"
"Croatia","D","D","D","-"
"Ethiopia","4.0","D","D","-"
"India","12.0","8.0","4.0","-"
"Indonesia","D","-","D","-"
"Kenya","D","D","D","-"
"Mexico","12.0","6.0","6.0","-"
"Pakistan","D","D","-","-"
"Peru","D","-","D","-"
"Romania","D","-","D","-"
"United Kingdom","D","D","D","-"
"Venezuela","4.0","D","D","-"
"Yemen","D","D","D","-"
"Other","20.0","9.0","11.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
