"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hartford-West Hartford-East Hartford, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2466.0","1148.0","1318.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","268.0","140.0","128.0","-"
"25 to 34 years","640.0","257.0","383.0","-"
"35 to 44 years","803.0","383.0","420.0","-"
"45 to 54 years","427.0","227.0","200.0","-"
"55 to 64 years","227.0","102.0","125.0","-"
"65 years and over","101.0","39.0","62.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","541.0","287.0","254.0","-"
"Married","1694.0","780.0","914.0","-"
"Other","231.0","81.0","150.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","730.0","366.0","364.0","-"
"Service occupations","334.0","117.0","217.0","-"
"Sales and office occupations","227.0","71.0","156.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","46.0","D","D","-"
"Production, transportation, and material moving occupations","367.0","230.0","137.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","520.0","181.0","339.0","-"
"Homemakers","88.0","D","D","-"
"Students or children","321.0","134.0","187.0","-"
"Retirees","25.0","D","D","-"
"Unemployed","86.0","33.0","53.0","-"
"Unknown","237.0","136.0","101.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","105.0","60.0","45.0","-"
"Bangladesh","44.0","23.0","21.0","-"
"Bosnia and Herzegovina","66.0","33.0","33.0","-"
"Canada","36.0","21.0","15.0","-"
"China","77.0","38.0","39.0","-"
"Colombia","63.0","20.0","43.0","-"
"Dominican Republic","40.0","17.0","23.0","-"
"Egypt","25.0","13.0","12.0","-"
"Ghana","60.0","32.0","28.0","-"
"Guyana","38.0","16.0","22.0","-"
"India","344.0","179.0","165.0","-"
"Jamaica","265.0","102.0","163.0","-"
"Korea, South","32.0","18.0","14.0","-"
"Pakistan","59.0","32.0","27.0","-"
"Peru","85.0","34.0","51.0","-"
"Philippines","54.0","19.0","35.0","-"
"Poland","261.0","112.0","149.0","-"
"Ukraine","28.0","8.0","20.0","-"
"United Kingdom","33.0","17.0","16.0","-"
"Vietnam","60.0","21.0","39.0","-"
"Other","691.0","333.0","358.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
