"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hudson, NY","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","52.0","25.0","27.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","5.0","-"
"25 to 34 years","12.0","5.0","7.0","-"
"35 to 44 years","11.0","D","D","-"
"45 to 54 years","15.0","8.0","7.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","D","D","-"
"Married","38.0","19.0","19.0","-"
"Other","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","5.0","6.0","-"
"Service occupations","5.0","D","D","-"
"Sales and office occupations","4.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","12.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","15.0","4.0","11.0","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","5.0","4.0","1.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","10.0","D","D","-"
"Brazil","D","D","D","-"
"China","D","D","D","-"
"Dominican Republic","D","D","-","-"
"El Salvador","D","-","D","-"
"Greece","D","D","D","-"
"Guyana","D","-","D","-"
"Haiti","3.0","3.0","-","-"
"India","7.0","4.0","3.0","-"
"Ireland","D","D","-","-"
"Jamaica","5.0","D","D","-"
"Mexico","D","D","-","-"
"Morocco","D","D","-","-"
"Netherlands","D","-","D","-"
"Pakistan","D","-","D","-"
"Philippines","D","-","D","-"
"Poland","D","-","D","-"
"South Africa","D","-","D","-"
"Soviet Union (former)","D","D","-","-"
"United Kingdom","4.0","D","D","-"
"Other","3.0","1.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
