"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Joplin, MO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","68.0","44.0","24.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","14.0","7.0","7.0","-"
"25 to 34 years","21.0","16.0","5.0","-"
"35 to 44 years","16.0","11.0","5.0","-"
"45 to 54 years","9.0","5.0","4.0","-"
"55 to 64 years","D","D","3.0","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","11.0","7.0","-"
"Married","45.0","28.0","17.0","-"
"Other","5.0","5.0","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","11.0","D","D","-"
"Service occupations","7.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","17.0","12.0","5.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","16.0","9.0","7.0","-"
"Homemakers","D","-","D","-"
"Students or children","12.0","9.0","3.0","-"
"Retirees","D","-","D","-"
"Unemployed","D","-","D","-"
"Unknown","12.0","9.0","3.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belgium","3.0","D","D","-"
"Canada","D","D","-","-"
"China","D","-","D","-"
"Congo, Republic of the","D","-","D","-"
"Ecuador","D","D","-","-"
"El Salvador","D","D","-","-"
"Guatemala","7.0","4.0","3.0","-"
"Honduras","D","D","-","-"
"India","D","D","D","-"
"Kenya","D","D","-","-"
"Lebanon","D","D","-","-"
"Malaysia","D","-","D","-"
"Mexico","30.0","21.0","9.0","-"
"Nicaragua","D","-","D","-"
"Pakistan","D","D","-","-"
"Philippines","3.0","D","D","-"
"Russia","3.0","D","D","-"
"Thailand","3.0","-","3.0","-"
"Vietnam","4.0","4.0","-","-"
"Zimbabwe","D","D","-","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
