"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kansas City, MO-KS","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2199.0","1126.0","1073.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","223.0","118.0","105.0","-"
"25 to 34 years","714.0","355.0","359.0","-"
"35 to 44 years","731.0","397.0","334.0","-"
"45 to 54 years","306.0","151.0","155.0","-"
"55 to 64 years","140.0","59.0","81.0","-"
"65 years and over","85.0","46.0","39.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","456.0","300.0","156.0","-"
"Married","1502.0","706.0","796.0","-"
"Other","241.0","120.0","121.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","664.0","379.0","285.0","-"
"Service occupations","272.0","105.0","167.0","-"
"Sales and office occupations","171.0","66.0","105.0","-"
"Farming, fishing, and forestry occupations","4.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","28.0","D","D","-"
"Production, transportation, and material moving occupations","221.0","149.0","72.0","-"
"Military","118.0","D","D","-"
"No occupation/not working outside home","473.0","171.0","302.0","-"
"Homemakers","108.0","D","D","-"
"Students or children","263.0","124.0","139.0","-"
"Retirees","29.0","D","D","-"
"Unemployed","73.0","33.0","40.0","-"
"Unknown","248.0","136.0","112.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","22.0","9.0","13.0","-"
"China","78.0","39.0","39.0","-"
"Colombia","49.0","20.0","29.0","-"
"Cuba","30.0","18.0","12.0","-"
"El Salvador","30.0","15.0","15.0","-"
"Ethiopia","86.0","38.0","48.0","-"
"India","316.0","167.0","149.0","-"
"Iran","46.0","23.0","23.0","-"
"Iraq","29.0","19.0","10.0","-"
"Kenya","82.0","48.0","34.0","-"
"Korea, South","46.0","29.0","17.0","-"
"Mexico","252.0","123.0","129.0","-"
"Nigeria","47.0","27.0","20.0","-"
"Pakistan","68.0","37.0","31.0","-"
"Philippines","71.0","17.0","54.0","-"
"Russia","23.0","4.0","19.0","-"
"Somalia","48.0","28.0","20.0","-"
"Sudan","64.0","42.0","22.0","-"
"Venezuela","23.0","10.0","13.0","-"
"Vietnam","77.0","34.0","43.0","-"
"Other","709.0","377.0","332.0","-"
"Unknown","3.0","2.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
