"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lafayette, LA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","149.0","71.0","78.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","13.0","6.0","7.0","-"
"25 to 34 years","35.0","14.0","21.0","-"
"35 to 44 years","56.0","28.0","28.0","-"
"45 to 54 years","24.0","12.0","12.0","-"
"55 to 64 years","14.0","8.0","6.0","-"
"65 years and over","7.0","3.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","23.0","12.0","11.0","-"
"Married","106.0","49.0","57.0","-"
"Other","20.0","10.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","56.0","29.0","27.0","-"
"Service occupations","19.0","8.0","11.0","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","11.0","D","D","-"
"Military","D","D","-","-"
"No occupation/not working outside home","29.0","8.0","21.0","-"
"Homemakers","D","-","D","-"
"Students or children","20.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","D","-","-"
"Unknown","15.0","8.0","7.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","3.0","-","3.0","-"
"China","5.0","D","D","-"
"Colombia","5.0","D","D","-"
"Cuba","9.0","4.0","5.0","-"
"Egypt","3.0","D","D","-"
"Germany","3.0","-","3.0","-"
"Honduras","3.0","D","D","-"
"India","12.0","8.0","4.0","-"
"Jordan","3.0","D","D","-"
"Kuwait","5.0","D","D","-"
"Laos","3.0","D","D","-"
"Lebanon","3.0","-","3.0","-"
"Mexico","6.0","D","D","-"
"Nicaragua","4.0","D","D","-"
"Nigeria","6.0","D","D","-"
"Philippines","6.0","D","D","-"
"Rwanda","3.0","D","D","-"
"Trinidad and Tobago","4.0","D","D","-"
"Venezuela","6.0","D","D","-"
"Vietnam","15.0","7.0","8.0","-"
"Other","42.0","24.0","18.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
