"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Laredo, TX","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","484.0","238.0","246.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","61.0","33.0","28.0","-"
"25 to 34 years","133.0","57.0","76.0","-"
"35 to 44 years","110.0","55.0","55.0","-"
"45 to 54 years","69.0","32.0","37.0","-"
"55 to 64 years","69.0","37.0","32.0","-"
"65 years and over","42.0","24.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","95.0","49.0","46.0","-"
"Married","319.0","168.0","151.0","-"
"Other","70.0","21.0","49.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","120.0","62.0","58.0","-"
"Service occupations","49.0","20.0","29.0","-"
"Sales and office occupations","51.0","17.0","34.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","9.0","9.0","-","-"
"Production, transportation, and material moving occupations","68.0","49.0","19.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","127.0","43.0","84.0","-"
"Homemakers","25.0","-","25.0","-"
"Students or children","63.0","26.0","37.0","-"
"Retirees","8.0","D","D","-"
"Unemployed","31.0","D","D","-"
"Unknown","57.0","35.0","22.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","4.0","D","D","-"
"Burma","D","-","D","-"
"China","D","D","-","-"
"Cuba","D","-","D","-"
"Dominican Republic","D","D","-","-"
"El Salvador","D","-","D","-"
"Ethiopia","D","-","D","-"
"France","D","-","D","-"
"Guatemala","D","D","D","-"
"Honduras","4.0","-","4.0","-"
"India","6.0","D","D","-"
"Israel","D","-","D","-"
"Mexico","443.0","226.0","217.0","-"
"Netherlands","D","-","D","-"
"Nicaragua","D","D","-","-"
"Nigeria","D","-","D","-"
"Philippines","7.0","3.0","4.0","-"
"Rwanda","D","-","D","-"
"Sierra Leone","D","D","-","-"
"Vietnam","3.0","-","3.0","-"
"Other","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
