"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lawrence, KS","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","86.0","34.0","52.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","13.0","7.0","6.0","-"
"25 to 34 years","26.0","8.0","18.0","-"
"35 to 44 years","25.0","9.0","16.0","-"
"45 to 54 years","13.0","7.0","6.0","-"
"55 to 64 years","3.0","D","D","-"
"65 years and over","6.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","25.0","D","D","-"
"Married","51.0","19.0","32.0","-"
"Other","10.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","30.0","12.0","18.0","-"
"Service occupations","D","D","4.0","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","7.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","31.0","10.0","21.0","-"
"Homemakers","5.0","-","5.0","-"
"Students or children","20.0","D","D","-"
"Retirees","3.0","D","D","-"
"Unemployed","3.0","D","D","-"
"Unknown","7.0","4.0","3.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Armenia","D","-","D","-"
"Bangladesh","4.0","D","D","-"
"Canada","D","-","D","-"
"China","4.0","-","4.0","-"
"Colombia","4.0","D","D","-"
"El Salvador","D","-","D","-"
"Ghana","3.0","D","D","-"
"India","11.0","4.0","7.0","-"
"Iran","D","D","-","-"
"Ireland","D","D","D","-"
"Korea, South","D","D","D","-"
"Malaysia","D","D","D","-"
"Mexico","5.0","-","5.0","-"
"Nigeria","6.0","3.0","3.0","-"
"Philippines","3.0","-","3.0","-"
"Russia","6.0","D","D","-"
"Serbia and Montenegro","D","-","D","-"
"Turkey","D","D","-","-"
"United Kingdom","D","D","-","-"
"Other","20.0","12.0","8.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
