"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lexington Park, MD","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","65.0","27.0","38.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","3.0","D","D","-"
"25 to 34 years","25.0","12.0","13.0","-"
"35 to 44 years","18.0","4.0","14.0","-"
"45 to 54 years","9.0","3.0","6.0","-"
"55 to 64 years","5.0","D","D","-"
"65 years and over","5.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","9.0","6.0","3.0","-"
"Married","53.0","21.0","32.0","-"
"Other","3.0","-","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","14.0","7.0","7.0","-"
"Service occupations","6.0","D","D","-"
"Sales and office occupations","11.0","4.0","7.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","17.0","5.0","12.0","-"
"Homemakers","D","-","D","-"
"Students or children","7.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","5.0","-","5.0","-"
"Unknown","12.0","7.0","5.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Benin","D","-","D","-"
"Bolivia","D","D","D","-"
"Bosnia and Herzegovina","D","-","D","-"
"Brazil","D","D","-","-"
"Bulgaria","D","D","-","-"
"Canada","D","-","D","-"
"China","D","D","-","-"
"Colombia","3.0","D","D","-"
"Ecuador","D","D","-","-"
"Finland","D","-","D","-"
"India","11.0","8.0","3.0","-"
"Ireland","D","-","D","-"
"Italy","D","D","-","-"
"Korea, South","D","-","D","-"
"Malaysia","D","-","D","-"
"Philippines","12.0","4.0","8.0","-"
"Poland","D","-","D","-"
"Trinidad and Tobago","D","-","D","-"
"United Kingdom","3.0","D","D","-"
"Vietnam","4.0","D","D","-"
"Other","11.0","4.0","7.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
