"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Atlantic City-Hammonton, NJ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","888.0","397.0","490.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","103.0","56.0","47.0","-"
"25 to 34 years","301.0","115.0","186.0","-"
"35 to 44 years","211.0","89.0","122.0","-"
"45 to 54 years","144.0","71.0","73.0","-"
"55 to 64 years","88.0","45.0","42.0","1.0"
"65 years and over","41.0","21.0","20.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","211.0","122.0","89.0","-"
"Married","573.0","249.0","324.0","-"
"Other","103.0","26.0","77.0","-"
"Unknown","1.0","-","-","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","129.0","47.0","82.0","-"
"Service occupations","219.0","103.0","116.0","-"
"Sales and office occupations","121.0","49.0","72.0","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","10.0","D","D","-"
"Production, transportation, and material moving occupations","131.0","71.0","60.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","179.0","66.0","113.0","-"
"Homemakers","39.0","D","D","-"
"Students or children","94.0","46.0","48.0","-"
"Retirees","10.0","D","D","-"
"Unemployed","36.0","14.0","22.0","-"
"Unknown","93.0","48.0","44.0","1.0"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","96.0","52.0","44.0","-"
"Belarus","6.0","-","6.0","-"
"Bulgaria","12.0","3.0","9.0","-"
"China","69.0","27.0","42.0","-"
"Colombia","42.0","14.0","28.0","-"
"Dominican Republic","65.0","25.0","40.0","-"
"Ecuador","9.0","3.0","6.0","-"
"Egypt","21.0","14.0","7.0","-"
"El Salvador","8.0","4.0","4.0","-"
"Haiti","32.0","19.0","13.0","-"
"Honduras","26.0","9.0","17.0","-"
"India","120.0","67.0","53.0","-"
"Jamaica","11.0","D","D","-"
"Liberia","10.0","4.0","6.0","-"
"Mexico","31.0","20.0","11.0","-"
"Pakistan","51.0","28.0","23.0","-"
"Peru","26.0","12.0","14.0","-"
"Philippines","60.0","24.0","35.0","1.0"
"Poland","10.0","D","D","-"
"Vietnam","53.0","15.0","38.0","-"
"Other","130.0","54.0","76.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
