"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Mount Vernon-Anacortes, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","144.0","64.0","80.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","11.0","6.0","5.0","-"
"25 to 34 years","37.0","20.0","17.0","-"
"35 to 44 years","33.0","11.0","22.0","-"
"45 to 54 years","25.0","10.0","15.0","-"
"55 to 64 years","22.0","11.0","11.0","-"
"65 years and over","16.0","6.0","10.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","32.0","17.0","15.0","-"
"Married","97.0","43.0","54.0","-"
"Other","15.0","4.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","23.0","8.0","15.0","-"
"Service occupations","23.0","12.0","11.0","-"
"Sales and office occupations","11.0","D","D","-"
"Farming, fishing, and forestry occupations","4.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","6.0","D","D","-"
"Production, transportation, and material moving occupations","19.0","11.0","8.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","35.0","10.0","25.0","-"
"Homemakers","8.0","-","8.0","-"
"Students or children","D","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","20.0","7.0","13.0","-"
"Unknown","23.0","12.0","11.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","D","-","-"
"Belarus","5.0","D","D","-"
"Canada","7.0","D","D","-"
"China","5.0","D","D","-"
"Costa Rica","D","-","D","-"
"El Salvador","D","D","-","-"
"Ethiopia","D","D","-","-"
"Georgia","D","-","D","-"
"Germany","D","-","D","-"
"Guatemala","D","D","D","-"
"India","5.0","D","D","-"
"Indonesia","D","D","-","-"
"Kazakhstan","D","D","-","-"
"Korea, South","3.0","D","D","-"
"Mexico","78.0","37.0","41.0","-"
"Philippines","13.0","4.0","9.0","-"
"Russia","3.0","D","D","-"
"South Africa","D","D","D","-"
"Ukraine","5.0","D","D","-"
"United Kingdom","3.0","D","D","-"
"Other","4.0","-","4.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
