"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: New York-Northern New Jersey-Long Island, NY-NJ-PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","91257.0","42458.0","48793.0","6.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","9057.0","4081.0","4976.0","-"
"25 to 34 years","25481.0","10844.0","14637.0","-"
"35 to 44 years","25649.0","12688.0","12960.0","1.0"
"45 to 54 years","15546.0","7663.0","7882.0","1.0"
"55 to 64 years","9705.0","4653.0","5049.0","3.0"
"65 years and over","5819.0","2529.0","3289.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","21913.0","11194.0","10719.0","-"
"Married","58278.0","27338.0","30940.0","-"
"Other","11055.0","3923.0","7132.0","-"
"Unknown","11.0","3.0","2.0","6.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","21129.0","10604.0","10525.0","-"
"Service occupations","13521.0","5264.0","8257.0","-"
"Sales and office occupations","9955.0","3733.0","6222.0","-"
"Farming, fishing, and forestry occupations","77.0","60.0","17.0","-"
"Construction, extraction, maintenance and repair occupations","2322.0","2192.0","130.0","-"
"Production, transportation, and material moving occupations","13436.0","8795.0","4641.0","-"
"Military","165.0","128.0","37.0","-"
"No occupation/not working outside home","21937.0","7146.0","14791.0","-"
"Homemakers","3791.0","85.0","3706.0","-"
"Students or children","11661.0","4551.0","7110.0","-"
"Retirees","1389.0","663.0","726.0","-"
"Unemployed","5096.0","1847.0","3249.0","-"
"Unknown","8715.0","4536.0","4173.0","6.0"
"","","","",""
"Leading countries of birth","","","",""
"Albania","1512.0","738.0","774.0","-"
"Bangladesh","2967.0","1533.0","1434.0","-"
"China","7740.0","3354.0","4386.0","-"
"Colombia","2981.0","1209.0","1772.0","-"
"Dominican Republic","8098.0","3621.0","4475.0","2.0"
"Ecuador","2838.0","1356.0","1482.0","-"
"Egypt","1702.0","1061.0","641.0","-"
"Guyana","3235.0","1412.0","1823.0","-"
"Haiti","2836.0","1298.0","1538.0","-"
"India","8512.0","4372.0","4140.0","-"
"Jamaica","4046.0","1591.0","2455.0","-"
"Korea, South","1662.0","741.0","921.0","-"
"Nigeria","1214.0","591.0","623.0","-"
"Pakistan","2208.0","1157.0","1051.0","-"
"Peru","1680.0","717.0","963.0","-"
"Philippines","2903.0","1137.0","1766.0","-"
"Poland","2297.0","1028.0","1269.0","-"
"Russia","1217.0","408.0","809.0","-"
"Trinidad and Tobago","2087.0","822.0","1265.0","-"
"Ukraine","1406.0","596.0","809.0","1.0"
"Other","28092.0","13707.0","14382.0","3.0"
"Unknown","24.0","9.0","15.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
