"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Norwich-New London, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","370.0","176.0","194.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","36.0","17.0","19.0","-"
"25 to 34 years","98.0","44.0","54.0","-"
"35 to 44 years","113.0","55.0","58.0","-"
"45 to 54 years","86.0","44.0","42.0","-"
"55 to 64 years","25.0","11.0","14.0","-"
"65 years and over","12.0","5.0","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","81.0","47.0","34.0","-"
"Married","252.0","118.0","134.0","-"
"Other","37.0","11.0","26.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","97.0","48.0","49.0","-"
"Service occupations","69.0","31.0","38.0","-"
"Sales and office occupations","43.0","20.0","23.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","3.0","3.0","-","-"
"Production, transportation, and material moving occupations","49.0","24.0","25.0","-"
"Military","4.0","4.0","-","-"
"No occupation/not working outside home","56.0","21.0","35.0","-"
"Homemakers","D","D","6.0","-"
"Students or children","37.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","11.0","D","D","-"
"Unknown","49.0","25.0","24.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","8.0","4.0","4.0","-"
"Bangladesh","3.0","D","D","-"
"Bulgaria","3.0","D","D","-"
"Canada","7.0","3.0","4.0","-"
"Cape Verde","4.0","-","4.0","-"
"China","85.0","42.0","43.0","-"
"Colombia","12.0","7.0","5.0","-"
"Dominican Republic","20.0","6.0","14.0","-"
"Ecuador","5.0","D","D","-"
"Haiti","34.0","14.0","20.0","-"
"India","53.0","33.0","20.0","-"
"Jamaica","8.0","4.0","4.0","-"
"Pakistan","11.0","7.0","4.0","-"
"Peru","4.0","4.0","-","-"
"Philippines","20.0","6.0","14.0","-"
"Poland","8.0","D","D","-"
"Russia","4.0","D","D","-"
"Ukraine","5.0","D","D","-"
"United Kingdom","6.0","D","D","-"
"Vietnam","7.0","D","D","-"
"Other","63.0","28.0","35.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
