"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Ocala, FL","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","377.0","147.0","230.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","26.0","13.0","13.0","-"
"25 to 34 years","71.0","25.0","46.0","-"
"35 to 44 years","122.0","44.0","78.0","-"
"45 to 54 years","81.0","38.0","43.0","-"
"55 to 64 years","45.0","16.0","29.0","-"
"65 years and over","32.0","11.0","21.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","46.0","23.0","23.0","-"
"Married","295.0","116.0","179.0","-"
"Other","36.0","8.0","28.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","109.0","44.0","65.0","-"
"Service occupations","39.0","13.0","26.0","-"
"Sales and office occupations","27.0","7.0","20.0","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","47.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","64.0","21.0","43.0","-"
"Homemakers","11.0","D","D","-"
"Students or children","26.0","11.0","15.0","-"
"Retirees","12.0","D","D","-"
"Unemployed","15.0","5.0","10.0","-"
"Unknown","86.0","29.0","57.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Canada","14.0","3.0","11.0","-"
"China","7.0","3.0","4.0","-"
"Colombia","27.0","9.0","18.0","-"
"Cuba","17.0","8.0","9.0","-"
"Dominican Republic","7.0","D","D","-"
"Ecuador","7.0","D","D","-"
"Guyana","11.0","5.0","6.0","-"
"Haiti","19.0","8.0","11.0","-"
"India","24.0","15.0","9.0","-"
"Jamaica","37.0","10.0","27.0","-"
"Mexico","14.0","8.0","6.0","-"
"Nicaragua","10.0","4.0","6.0","-"
"Pakistan","6.0","3.0","3.0","-"
"Panama","6.0","D","D","-"
"Peru","6.0","D","D","-"
"Philippines","25.0","9.0","16.0","-"
"Trinidad and Tobago","7.0","4.0","3.0","-"
"United Kingdom","15.0","5.0","10.0","-"
"Venezuela","8.0","3.0","5.0","-"
"Vietnam","14.0","7.0","7.0","-"
"Other","96.0","31.0","65.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
