"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Oxnard-Thousand Oaks-Ventura, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1823.0","857.0","966.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","150.0","84.0","66.0","-"
"25 to 34 years","464.0","187.0","277.0","-"
"35 to 44 years","553.0","266.0","287.0","-"
"45 to 54 years","321.0","157.0","164.0","-"
"55 to 64 years","205.0","101.0","104.0","-"
"65 years and over","130.0","62.0","68.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","365.0","203.0","162.0","-"
"Married","1287.0","605.0","682.0","-"
"Other","171.0","49.0","122.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","546.0","276.0","270.0","-"
"Service occupations","172.0","68.0","104.0","-"
"Sales and office occupations","175.0","67.0","108.0","-"
"Farming, fishing, and forestry occupations","14.0","14.0","-","-"
"Construction, extraction, maintenance and repair occupations","44.0","41.0","3.0","-"
"Production, transportation, and material moving occupations","166.0","109.0","57.0","-"
"Military","7.0","4.0","3.0","-"
"No occupation/not working outside home","419.0","144.0","275.0","-"
"Homemakers","101.0","D","D","-"
"Students or children","185.0","79.0","106.0","-"
"Retirees","44.0","D","D","-"
"Unemployed","89.0","40.0","49.0","-"
"Unknown","280.0","134.0","146.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","18.0","4.0","14.0","-"
"Canada","31.0","16.0","15.0","-"
"China","82.0","33.0","49.0","-"
"Colombia","20.0","12.0","8.0","-"
"El Salvador","29.0","15.0","14.0","-"
"Guatemala","37.0","17.0","20.0","-"
"India","223.0","111.0","112.0","-"
"Iran","55.0","23.0","32.0","-"
"Israel","16.0","10.0","6.0","-"
"Japan","13.0","3.0","10.0","-"
"Korea, South","27.0","12.0","15.0","-"
"Mexico","575.0","309.0","266.0","-"
"Pakistan","18.0","14.0","4.0","-"
"Peru","21.0","6.0","15.0","-"
"Philippines","239.0","85.0","154.0","-"
"Syria","23.0","14.0","9.0","-"
"Taiwan","25.0","7.0","18.0","-"
"Thailand","15.0","5.0","10.0","-"
"United Kingdom","31.0","16.0","15.0","-"
"Vietnam","29.0","11.0","18.0","-"
"Other","294.0","133.0","161.0","-"
"Unknown","2.0","1.0","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
