"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Phoenix-Mesa-Scottsdale, AZ","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","7527.0","3523.0","4004.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","697.0","351.0","346.0","-"
"25 to 34 years","2110.0","881.0","1229.0","-"
"35 to 44 years","2339.0","1131.0","1208.0","-"
"45 to 54 years","1231.0","603.0","628.0","-"
"55 to 64 years","731.0","358.0","373.0","-"
"65 years and over","419.0","199.0","220.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","1472.0","818.0","654.0","-"
"Married","5218.0","2400.0","2818.0","-"
"Other","837.0","305.0","532.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","2191.0","1134.0","1057.0","-"
"Service occupations","1080.0","362.0","718.0","-"
"Sales and office occupations","713.0","244.0","469.0","-"
"Farming, fishing, and forestry occupations","20.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","206.0","193.0","13.0","-"
"Production, transportation, and material moving occupations","812.0","562.0","250.0","-"
"Military","12.0","D","D","-"
"No occupation/not working outside home","1767.0","605.0","1162.0","-"
"Homemakers","393.0","17.0","376.0","-"
"Students or children","815.0","336.0","479.0","-"
"Retirees","151.0","73.0","78.0","-"
"Unemployed","408.0","179.0","229.0","-"
"Unknown","726.0","394.0","332.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","140.0","64.0","76.0","-"
"Canada","251.0","124.0","127.0","-"
"China","254.0","106.0","148.0","-"
"Colombia","80.0","35.0","45.0","-"
"El Salvador","75.0","40.0","35.0","-"
"Ethiopia","81.0","43.0","38.0","-"
"Guatemala","75.0","34.0","41.0","-"
"India","666.0","348.0","318.0","-"
"Iran","144.0","68.0","76.0","-"
"Iraq","124.0","61.0","63.0","-"
"Liberia","74.0","34.0","40.0","-"
"Mexico","2137.0","1036.0","1101.0","-"
"Pakistan","77.0","47.0","30.0","-"
"Philippines","477.0","159.0","318.0","-"
"Poland","79.0","30.0","49.0","-"
"Romania","153.0","67.0","86.0","-"
"Somalia","101.0","63.0","38.0","-"
"Sudan","120.0","77.0","43.0","-"
"United Kingdom","147.0","86.0","61.0","-"
"Vietnam","301.0","110.0","191.0","-"
"Other","1967.0","889.0","1078.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
