"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Pittsburgh, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1343.0","627.0","716.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","119.0","59.0","60.0","-"
"25 to 34 years","331.0","122.0","209.0","-"
"35 to 44 years","522.0","258.0","264.0","-"
"45 to 54 years","244.0","131.0","113.0","-"
"55 to 64 years","82.0","40.0","42.0","-"
"65 years and over","45.0","17.0","28.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","243.0","136.0","107.0","-"
"Married","993.0","459.0","534.0","-"
"Other","107.0","32.0","75.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","544.0","316.0","228.0","-"
"Service occupations","143.0","63.0","80.0","-"
"Sales and office occupations","125.0","39.0","86.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","85.0","D","D","-"
"Military","D","D","D","-"
"No occupation/not working outside home","335.0","98.0","237.0","-"
"Homemakers","74.0","-","74.0","-"
"Students or children","204.0","81.0","123.0","-"
"Retirees","19.0","9.0","10.0","-"
"Unemployed","38.0","8.0","30.0","-"
"Unknown","96.0","49.0","47.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bosnia and Herzegovina","22.0","11.0","11.0","-"
"Canada","33.0","17.0","16.0","-"
"China","112.0","54.0","58.0","-"
"Colombia","16.0","6.0","10.0","-"
"Egypt","16.0","8.0","8.0","-"
"Germany","21.0","10.0","11.0","-"
"India","303.0","151.0","152.0","-"
"Iran","21.0","10.0","11.0","-"
"Korea, South","31.0","9.0","22.0","-"
"Mexico","25.0","11.0","14.0","-"
"Nigeria","16.0","8.0","8.0","-"
"Pakistan","37.0","19.0","18.0","-"
"Philippines","37.0","6.0","31.0","-"
"Romania","24.0","12.0","12.0","-"
"Russia","33.0","10.0","23.0","-"
"Taiwan","20.0","11.0","9.0","-"
"Turkey","28.0","16.0","12.0","-"
"Ukraine","27.0","8.0","19.0","-"
"United Kingdom","39.0","24.0","15.0","-"
"Vietnam","22.0","6.0","16.0","-"
"Other","460.0","220.0","240.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
