"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Reno-Sparks, NV","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","823.0","389.0","434.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","64.0","27.0","37.0","-"
"25 to 34 years","249.0","103.0","146.0","-"
"35 to 44 years","224.0","113.0","111.0","-"
"45 to 54 years","140.0","68.0","72.0","-"
"55 to 64 years","98.0","48.0","50.0","-"
"65 years and over","48.0","30.0","18.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","156.0","83.0","73.0","-"
"Married","565.0","270.0","295.0","-"
"Other","102.0","36.0","66.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","161.0","78.0","83.0","-"
"Service occupations","130.0","55.0","75.0","-"
"Sales and office occupations","55.0","19.0","36.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","75.0","D","D","-"
"Military","D","-","D","-"
"No occupation/not working outside home","136.0","54.0","82.0","-"
"Homemakers","13.0","-","13.0","-"
"Students or children","83.0","29.0","54.0","-"
"Retirees","16.0","11.0","5.0","-"
"Unemployed","24.0","14.0","10.0","-"
"Unknown","245.0","118.0","127.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","21.0","9.0","12.0","-"
"Canada","17.0","12.0","5.0","-"
"China","31.0","13.0","18.0","-"
"Colombia","6.0","-","6.0","-"
"El Salvador","35.0","19.0","16.0","-"
"Germany","6.0","D","D","-"
"Guatemala","24.0","17.0","7.0","-"
"India","76.0","41.0","35.0","-"
"Iran","9.0","D","D","-"
"Korea, South","8.0","D","D","-"
"Mexico","222.0","118.0","104.0","-"
"Peru","13.0","5.0","8.0","-"
"Philippines","170.0","70.0","100.0","-"
"Poland","10.0","D","D","-"
"Romania","6.0","D","D","-"
"Russia","8.0","-","8.0","-"
"Soviet Union (former)","6.0","D","D","-"
"Thailand","12.0","3.0","9.0","-"
"United Kingdom","11.0","8.0","3.0","-"
"Vietnam","12.0","3.0","9.0","-"
"Other","120.0","54.0","66.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
