"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: San Francisco-Oakland-Fremont, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","21281.0","9833.0","11447.0","1.0"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","1658.0","779.0","879.0","-"
"25 to 34 years","5219.0","2032.0","3187.0","-"
"35 to 44 years","6859.0","3467.0","3392.0","-"
"45 to 54 years","3674.0","1781.0","1893.0","-"
"55 to 64 years","2230.0","1037.0","1193.0","-"
"65 years and over","1641.0","737.0","903.0","1.0"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","4662.0","2503.0","2159.0","-"
"Married","14312.0","6541.0","7771.0","-"
"Other","2305.0","789.0","1516.0","-"
"Unknown","2.0","-","1.0","1.0"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","6207.0","3205.0","3002.0","-"
"Service occupations","2886.0","1118.0","1768.0","-"
"Sales and office occupations","1877.0","714.0","1163.0","-"
"Farming, fishing, and forestry occupations","41.0","34.0","7.0","-"
"Construction, extraction, maintenance and repair occupations","387.0","365.0","22.0","-"
"Production, transportation, and material moving occupations","1495.0","1077.0","418.0","-"
"Military","24.0","21.0","3.0","-"
"No occupation/not working outside home","5453.0","1863.0","3590.0","-"
"Homemakers","939.0","16.0","923.0","-"
"Students or children","2947.0","1110.0","1837.0","-"
"Retirees","429.0","198.0","231.0","-"
"Unemployed","1138.0","539.0","599.0","-"
"Unknown","2911.0","1436.0","1474.0","1.0"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","282.0","136.0","146.0","-"
"Burma","347.0","164.0","183.0","-"
"China","3843.0","1529.0","2314.0","-"
"El Salvador","505.0","235.0","270.0","-"
"Ethiopia","229.0","119.0","110.0","-"
"Fiji","262.0","126.0","136.0","-"
"Hong Kong","284.0","140.0","144.0","-"
"India","3169.0","1678.0","1491.0","-"
"Indonesia","285.0","134.0","151.0","-"
"Iran","367.0","155.0","212.0","-"
"Korea, South","301.0","136.0","165.0","-"
"Mexico","1390.0","739.0","651.0","-"
"Nicaragua","246.0","96.0","150.0","-"
"Pakistan","285.0","154.0","131.0","-"
"Peru","329.0","136.0","193.0","-"
"Philippines","2521.0","1007.0","1514.0","-"
"Russia","312.0","102.0","210.0","-"
"Taiwan","381.0","160.0","221.0","-"
"United Kingdom","400.0","244.0","156.0","-"
"Vietnam","677.0","273.0","404.0","-"
"Other","4847.0","2364.0","2482.0","1.0"
"Unknown","19.0","6.0","13.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
