"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: San Juan-Caguas-Guaynabo, PR","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","1187.0","552.0","635.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","95.0","41.0","54.0","-"
"25 to 34 years","238.0","107.0","131.0","-"
"35 to 44 years","201.0","109.0","92.0","-"
"45 to 54 years","227.0","107.0","120.0","-"
"55 to 64 years","283.0","127.0","156.0","-"
"65 years and over","143.0","61.0","82.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","243.0","105.0","138.0","-"
"Married","610.0","317.0","293.0","-"
"Other","334.0","130.0","204.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","249.0","150.0","99.0","-"
"Service occupations","188.0","66.0","122.0","-"
"Sales and office occupations","113.0","38.0","75.0","-"
"Farming, fishing, and forestry occupations","4.0","4.0","-","-"
"Construction, extraction, maintenance and repair occupations","38.0","D","D","-"
"Production, transportation, and material moving occupations","128.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","313.0","95.0","218.0","-"
"Homemakers","74.0","D","D","-"
"Students or children","102.0","42.0","60.0","-"
"Retirees","32.0","D","D","-"
"Unemployed","105.0","30.0","75.0","-"
"Unknown","154.0","90.0","64.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","28.0","19.0","9.0","-"
"Brazil","7.0","D","D","-"
"Chile","5.0","D","D","-"
"China","25.0","11.0","14.0","-"
"Colombia","81.0","40.0","41.0","-"
"Cuba","70.0","41.0","29.0","-"
"Dominican Republic","706.0","306.0","400.0","-"
"Ecuador","9.0","D","D","-"
"Guatemala","6.0","3.0","3.0","-"
"Honduras","5.0","D","D","-"
"India","7.0","4.0","3.0","-"
"Jordan","7.0","D","D","-"
"Lebanon","4.0","4.0","-","-"
"Mexico","39.0","14.0","25.0","-"
"Nicaragua","7.0","D","D","-"
"Panama","9.0","D","D","-"
"Peru","23.0","12.0","11.0","-"
"Philippines","5.0","-","5.0","-"
"Spain","17.0","9.0","8.0","-"
"Venezuela","56.0","31.0","25.0","-"
"Other","67.0","34.0","33.0","-"
"Unknown","4.0","2.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
