"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Sioux City, IA-NE-SD","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","208.0","109.0","99.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","26.0","12.0","14.0","-"
"25 to 34 years","82.0","45.0","37.0","-"
"35 to 44 years","49.0","26.0","23.0","-"
"45 to 54 years","23.0","13.0","10.0","-"
"55 to 64 years","19.0","10.0","9.0","-"
"65 years and over","9.0","3.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","74.0","42.0","32.0","-"
"Married","104.0","54.0","50.0","-"
"Other","30.0","13.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","17.0","D","D","-"
"Service occupations","29.0","12.0","17.0","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","102.0","56.0","46.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","31.0","10.0","21.0","-"
"Homemakers","D","-","D","-"
"Students or children","17.0","7.0","10.0","-"
"Retirees","D","-","D","-"
"Unemployed","9.0","3.0","6.0","-"
"Unknown","17.0","14.0","3.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Benin","D","-","D","-"
"Cambodia","D","D","-","-"
"China","D","-","D","-"
"Colombia","D","D","D","-"
"Cote d'Ivoire","D","D","D","-"
"Ecuador","D","-","D","-"
"El Salvador","D","D","D","-"
"Ethiopia","20.0","13.0","7.0","-"
"Germany","D","D","D","-"
"Guatemala","13.0","8.0","5.0","-"
"Jordan","D","D","D","-"
"Laos","8.0","D","D","-"
"Mexico","85.0","44.0","41.0","-"
"Nicaragua","D","D","-","-"
"Pakistan","D","D","-","-"
"Peru","4.0","D","D","-"
"Philippines","6.0","-","6.0","-"
"Somalia","33.0","15.0","18.0","-"
"Sudan","D","D","-","-"
"Vietnam","12.0","4.0","8.0","-"
"Other","7.0","5.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
