"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Torrington, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","170.0","70.0","100.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","17.0","6.0","11.0","-"
"25 to 34 years","40.0","16.0","24.0","-"
"35 to 44 years","54.0","25.0","29.0","-"
"45 to 54 years","33.0","11.0","22.0","-"
"55 to 64 years","17.0","9.0","8.0","-"
"65 years and over","9.0","3.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","26.0","13.0","13.0","-"
"Married","126.0","51.0","75.0","-"
"Other","18.0","6.0","12.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","43.0","17.0","26.0","-"
"Service occupations","24.0","9.0","15.0","-"
"Sales and office occupations","13.0","4.0","9.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","7.0","7.0","-","-"
"Production, transportation, and material moving occupations","29.0","10.0","19.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","37.0","10.0","27.0","-"
"Homemakers","4.0","-","4.0","-"
"Students or children","22.0","7.0","15.0","-"
"Retirees","4.0","D","D","-"
"Unemployed","7.0","D","D","-"
"Unknown","17.0","13.0","4.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","15.0","7.0","8.0","-"
"Brazil","10.0","4.0","6.0","-"
"Canada","9.0","5.0","4.0","-"
"Chile","D","D","-","-"
"China","5.0","D","D","-"
"Colombia","4.0","D","D","-"
"Dominican Republic","8.0","D","D","-"
"Ecuador","10.0","5.0","5.0","-"
"Germany","3.0","-","3.0","-"
"Haiti","D","D","D","-"
"Hungary","D","D","D","-"
"India","10.0","5.0","5.0","-"
"Indonesia","4.0","D","D","-"
"Jamaica","3.0","-","3.0","-"
"Macedonia","5.0","D","D","-"
"Mexico","4.0","D","D","-"
"Philippines","9.0","3.0","6.0","-"
"Poland","6.0","D","D","-"
"United Kingdom","10.0","3.0","7.0","-"
"Vietnam","7.0","D","D","-"
"Other","42.0","19.0","23.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
