"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Tulsa, OK","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","657.0","313.0","344.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","60.0","29.0","31.0","-"
"25 to 34 years","201.0","94.0","107.0","-"
"35 to 44 years","195.0","84.0","111.0","-"
"45 to 54 years","122.0","66.0","56.0","-"
"55 to 64 years","45.0","23.0","22.0","-"
"65 years and over","34.0","17.0","17.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","103.0","67.0","36.0","-"
"Married","482.0","224.0","258.0","-"
"Other","72.0","22.0","50.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","168.0","95.0","73.0","-"
"Service occupations","82.0","29.0","53.0","-"
"Sales and office occupations","76.0","29.0","47.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","18.0","D","D","-"
"Production, transportation, and material moving occupations","82.0","50.0","32.0","-"
"Military","D","D","D","-"
"No occupation/not working outside home","153.0","50.0","103.0","-"
"Homemakers","40.0","-","40.0","-"
"Students or children","75.0","34.0","41.0","-"
"Retirees","11.0","4.0","7.0","-"
"Unemployed","27.0","12.0","15.0","-"
"Unknown","73.0","43.0","30.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Burma","9.0","4.0","5.0","-"
"Canada","12.0","6.0","6.0","-"
"China","29.0","15.0","14.0","-"
"Colombia","10.0","D","D","-"
"Guatemala","8.0","D","D","-"
"India","46.0","23.0","23.0","-"
"Iran","16.0","9.0","7.0","-"
"Kenya","8.0","4.0","4.0","-"
"Korea, South","13.0","3.0","10.0","-"
"Lebanon","7.0","4.0","3.0","-"
"Mexico","136.0","76.0","60.0","-"
"Nigeria","15.0","8.0","7.0","-"
"Pakistan","23.0","12.0","11.0","-"
"Peru","13.0","5.0","8.0","-"
"Philippines","19.0","4.0","15.0","-"
"Russia","23.0","10.0","13.0","-"
"Syria","9.0","5.0","4.0","-"
"Ukraine","19.0","7.0","12.0","-"
"Venezuela","17.0","9.0","8.0","-"
"Vietnam","32.0","11.0","21.0","-"
"Other","192.0","93.0","99.0","-"
"Unknown","1.0","-","1.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
