"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Blacksburg-Christiansburg-Radford, VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","125.0","67.0","58.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","18.0","D","D","-"
"25 to 34 years","33.0","20.0","13.0","-"
"35 to 44 years","35.0","15.0","20.0","-"
"45 to 54 years","28.0","15.0","13.0","-"
"55 to 64 years","D","D","5.0","-"
"65 years and over","D","-","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","D","D","-"
"Married","87.0","43.0","44.0","-"
"Other","7.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","27.0","21.0","6.0","-"
"Service occupations","9.0","D","D","-"
"Sales and office occupations","9.0","D","D","-"
"Farming, fishing, and forestry occupations","D","D","-","-"
"Construction, extraction, maintenance and repair occupations","D","-","D","-"
"Production, transportation, and material moving occupations","D","D","5.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","40.0","22.0","18.0","-"
"Homemakers","D","-","D","-"
"Students or children","30.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","D","D","-"
"Unknown","32.0","12.0","20.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","6.0","3.0","3.0","-"
"Armenia","D","D","-","-"
"Brazil","D","D","-","-"
"Canada","4.0","D","D","-"
"China","13.0","6.0","7.0","-"
"Egypt","6.0","D","D","-"
"Ethiopia","10.0","7.0","3.0","-"
"France","D","D","D","-"
"Germany","D","D","D","-"
"India","15.0","9.0","6.0","-"
"Iran","6.0","D","D","-"
"Korea, South","D","-","D","-"
"Mexico","6.0","D","D","-"
"Nepal","5.0","D","D","-"
"Netherlands","D","-","D","-"
"Philippines","D","D","D","-"
"Romania","3.0","D","D","-"
"Ukraine","6.0","D","D","-"
"United Kingdom","4.0","D","D","-"
"Zimbabwe","3.0","D","D","-"
"Other","24.0","11.0","13.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
