"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Willimantic, CT","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","58.0","28.0","30.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","15.0","6.0","9.0","-"
"35 to 44 years","14.0","7.0","7.0","-"
"45 to 54 years","14.0","8.0","6.0","-"
"55 to 64 years","5.0","D","D","-"
"65 years and over","3.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","11.0","4.0","7.0","-"
"Married","39.0","20.0","19.0","-"
"Other","8.0","4.0","4.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","25.0","11.0","14.0","-"
"Service occupations","D","-","D","-"
"Sales and office occupations","4.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","10.0","5.0","5.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","8.0","5.0","3.0","-"
"Homemakers","-","-","-","-"
"Students or children","5.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","D","D","D","-"
"Unknown","8.0","3.0","5.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Australia","D","D","-","-"
"Canada","3.0","3.0","-","-"
"China","3.0","D","D","-"
"Dominican Republic","D","-","D","-"
"Ecuador","3.0","-","3.0","-"
"Germany","D","D","-","-"
"Ghana","D","D","-","-"
"Greece","D","-","D","-"
"Guyana","3.0","D","D","-"
"Hungary","D","D","-","-"
"India","3.0","D","D","-"
"Jamaica","D","D","-","-"
"Korea, South","D","D","D","-"
"Laos","3.0","D","D","-"
"Macedonia","D","D","D","-"
"Mexico","3.0","D","D","-"
"Philippines","4.0","D","D","-"
"Poland","6.0","D","D","-"
"Ukraine","3.0","-","3.0","-"
"United Kingdom","D","D","D","-"
"Other","10.0","4.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
