"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Yakima, WA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","391.0","208.0","183.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","69.0","35.0","34.0","-"
"25 to 34 years","89.0","46.0","43.0","-"
"35 to 44 years","100.0","52.0","48.0","-"
"45 to 54 years","55.0","25.0","30.0","-"
"55 to 64 years","49.0","35.0","14.0","-"
"65 years and over","29.0","15.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","88.0","60.0","28.0","-"
"Married","259.0","130.0","129.0","-"
"Other","44.0","18.0","26.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","47.0","24.0","23.0","-"
"Service occupations","50.0","16.0","34.0","-"
"Sales and office occupations","21.0","8.0","13.0","-"
"Farming, fishing, and forestry occupations","54.0","40.0","14.0","-"
"Construction, extraction, maintenance and repair occupations","10.0","10.0","-","-"
"Production, transportation, and material moving occupations","78.0","48.0","30.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","106.0","45.0","61.0","-"
"Homemakers","D","-","D","-"
"Students or children","61.0","23.0","38.0","-"
"Retirees","D","11.0","D","-"
"Unemployed","26.0","11.0","15.0","-"
"Unknown","25.0","17.0","8.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","-","D","-"
"Bangladesh","D","D","D","-"
"Canada","D","-","D","-"
"China","7.0","4.0","3.0","-"
"Congo, Republic of the","D","D","-","-"
"Ecuador","D","D","-","-"
"Egypt","D","D","-","-"
"El Salvador","4.0","D","D","-"
"France","D","-","D","-"
"Germany","3.0","D","D","-"
"Guatemala","D","D","D","-"
"Honduras","D","D","D","-"
"India","20.0","10.0","10.0","-"
"Iran","D","D","D","-"
"Korea, South","3.0","D","D","-"
"Mexico","319.0","172.0","147.0","-"
"Nicaragua","D","-","D","-"
"Nigeria","D","D","-","-"
"Philippines","10.0","5.0","5.0","-"
"Ukraine","D","-","D","-"
"Other","7.0","3.0","4.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
