"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Yuba City, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","485.0","226.0","259.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","70.0","33.0","37.0","-"
"25 to 34 years","144.0","53.0","91.0","-"
"35 to 44 years","107.0","46.0","61.0","-"
"45 to 54 years","70.0","39.0","31.0","-"
"55 to 64 years","54.0","31.0","23.0","-"
"65 years and over","40.0","24.0","16.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","104.0","57.0","47.0","-"
"Married","340.0","151.0","189.0","-"
"Other","41.0","18.0","23.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","73.0","25.0","48.0","-"
"Service occupations","52.0","17.0","35.0","-"
"Sales and office occupations","35.0","17.0","18.0","-"
"Farming, fishing, and forestry occupations","19.0","13.0","6.0","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","98.0","59.0","39.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","141.0","55.0","86.0","-"
"Homemakers","27.0","D","D","-"
"Students or children","76.0","31.0","45.0","-"
"Retirees","17.0","D","D","-"
"Unemployed","21.0","14.0","7.0","-"
"Unknown","55.0","28.0","27.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Afghanistan","6.0","D","D","-"
"Cambodia","D","D","-","-"
"Canada","3.0","-","3.0","-"
"China","6.0","D","D","-"
"Fiji","5.0","D","D","-"
"Germany","4.0","D","D","-"
"Guatemala","D","D","D","-"
"India","272.0","133.0","139.0","-"
"Italy","D","D","D","-"
"Kenya","3.0","D","D","-"
"Laos","10.0","D","D","-"
"Mexico","86.0","48.0","38.0","-"
"Pakistan","11.0","D","D","-"
"Peru","D","D","D","-"
"Philippines","18.0","4.0","14.0","-"
"Romania","3.0","D","D","-"
"Russia","6.0","D","D","-"
"South Africa","5.0","D","D","-"
"Ukraine","D","-","D","-"
"Vietnam","8.0","3.0","5.0","-"
"Other","29.0","10.0","19.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
