"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Cedar Rapids, IA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","106.0","50.0","56.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","-","-"
"25 to 34 years","39.0","14.0","25.0","-"
"35 to 44 years","39.0","19.0","20.0","-"
"45 to 54 years","16.0","D","D","-"
"55 to 64 years","9.0","D","D","-"
"65 years and over","D","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","7.0","5.0","-"
"Married","87.0","39.0","48.0","-"
"Other","7.0","4.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","43.0","23.0","20.0","-"
"Service occupations","16.0","D","D","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","14.0","10.0","4.0","-"
"Military","D","D","-","-"
"No occupation/not working outside home","25.0","9.0","16.0","-"
"Homemakers","7.0","-","7.0","-"
"Students or children","13.0","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","5.0","D","D","-"
"Unknown","2.0","1.0","1.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Belarus","D","-","D","-"
"Brazil","D","-","D","-"
"Chad","D","D","D","-"
"Chile","D","D","D","-"
"China","7.0","D","D","-"
"India","20.0","10.0","10.0","-"
"Indonesia","D","D","D","-"
"Iraq","4.0","4.0","-","-"
"Jordan","D","D","D","-"
"Korea, South","D","D","D","-"
"Kosovo","3.0","D","D","-"
"Lebanon","D","-","D","-"
"Mexico","4.0","D","D","-"
"Nigeria","5.0","D","D","-"
"Pakistan","3.0","D","D","-"
"Philippines","3.0","-","3.0","-"
"Sierra Leone","3.0","D","D","-"
"Sudan","4.0","D","D","-"
"Taiwan","D","D","D","-"
"Vietnam","9.0","3.0","6.0","-"
"Other","25.0","12.0","13.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
