"Persons Naturalized During Fiscal Year 2010","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Concord, NH","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","105.0","53.0","52.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","D","D","3.0","-"
"25 to 34 years","27.0","13.0","14.0","-"
"35 to 44 years","38.0","17.0","21.0","-"
"45 to 54 years","19.0","10.0","9.0","-"
"55 to 64 years","12.0","7.0","5.0","-"
"65 years and over","D","D","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","18.0","14.0","4.0","-"
"Married","81.0","33.0","48.0","-"
"Other","6.0","6.0","-","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","33.0","20.0","13.0","-"
"Service occupations","18.0","8.0","10.0","-"
"Sales and office occupations","D","D","D","-"
"Farming, fishing, and forestry occupations","D","-","D","-"
"Construction, extraction, maintenance and repair occupations","3.0","D","D","-"
"Production, transportation, and material moving occupations","17.0","11.0","6.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","20.0","7.0","13.0","-"
"Homemakers","D","-","D","-"
"Students or children","10.0","4.0","6.0","-"
"Retirees","D","D","-","-"
"Unemployed","6.0","D","D","-"
"Unknown","10.0","4.0","6.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Albania","4.0","D","D","-"
"Bhutan","D","D","D","-"
"Bosnia and Herzegovina","D","D","D","-"
"Brazil","4.0","D","D","-"
"Cambodia","D","D","D","-"
"Canada","8.0","4.0","4.0","-"
"China","3.0","D","D","-"
"Colombia","D","-","D","-"
"Congo, Democratic Republic of the","3.0","D","D","-"
"Germany","D","D","D","-"
"India","6.0","D","D","-"
"Ireland","D","D","D","-"
"Nepal","5.0","D","D","-"
"Nigeria","4.0","D","D","-"
"Pakistan","7.0","D","D","-"
"Philippines","6.0","D","D","-"
"Poland","6.0","3.0","3.0","-"
"Rwanda","3.0","D","D","-"
"Sudan","3.0","3.0","-","-"
"United Kingdom","3.0","D","D","-"
"Other","28.0","15.0","13.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
