"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Eau Claire, WI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","104.0","37.0","67.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","12.0","D","D","-"
"25 to 34 years","32.0","13.0","19.0","-"
"35 to 44 years","22.0","10.0","12.0","-"
"45 to 54 years","16.0","5.0","11.0","-"
"55 to 64 years","11.0","4.0","7.0","-"
"65 years and over","11.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","17.0","D","D","-"
"Married","67.0","28.0","39.0","-"
"Other","20.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","14.0","D","D","-"
"Service occupations","11.0","3.0","8.0","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","D","4.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","59.0","18.0","41.0","-"
"Homemakers","D","-","D","-"
"Students or children","D","3.0","D","-"
"Retirees","-","-","-","-"
"Unemployed","45.0","15.0","30.0","-"
"Unknown","7.0","2.0","5.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","D","D","D","-"
"Burkina Faso","D","-","D","-"
"Canada","D","D","D","-"
"China","3.0","D","D","-"
"Costa Rica","D","D","-","-"
"Czech Republic","D","-","D","-"
"Egypt","D","D","D","-"
"Guinea","D","D","-","-"
"India","6.0","D","D","-"
"Italy","D","D","-","-"
"Laos","39.0","14.0","25.0","-"
"Macedonia","3.0","-","3.0","-"
"Mexico","4.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","4.0","-","4.0","-"
"Poland","D","-","D","-"
"Saudi Arabia","D","D","D","-"
"Soviet Union (former)","4.0","-","4.0","-"
"Syria","D","D","D","-"
"Thailand","14.0","D","D","-"
"Other","7.0","5.0","2.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
