"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Fort Collins-Loveland, CO","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","235.0","106.0","129.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","20.0","12.0","8.0","-"
"25 to 34 years","57.0","20.0","37.0","-"
"35 to 44 years","87.0","38.0","49.0","-"
"45 to 54 years","50.0","26.0","24.0","-"
"55 to 64 years","14.0","D","D","-"
"65 years and over","7.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","31.0","15.0","16.0","-"
"Married","189.0","87.0","102.0","-"
"Other","15.0","4.0","11.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","87.0","44.0","43.0","-"
"Service occupations","22.0","7.0","15.0","-"
"Sales and office occupations","18.0","10.0","8.0","-"
"Farming, fishing, and forestry occupations","D","D","D","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","13.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","53.0","15.0","38.0","-"
"Homemakers","11.0","-","11.0","-"
"Students or children","11.0","D","D","-"
"Retirees","5.0","D","D","-"
"Unemployed","26.0","8.0","18.0","-"
"Unknown","37.0","18.0","19.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Brazil","4.0","D","D","-"
"Canada","17.0","8.0","9.0","-"
"China","6.0","D","D","-"
"Ethiopia","4.0","D","D","-"
"France","6.0","D","D","-"
"Germany","6.0","3.0","3.0","-"
"Guatemala","5.0","D","D","-"
"India","14.0","8.0","6.0","-"
"Iran","6.0","D","D","-"
"Korea, South","5.0","D","D","-"
"Mexico","28.0","14.0","14.0","-"
"Nepal","5.0","D","D","-"
"Pakistan","9.0","4.0","5.0","-"
"Philippines","15.0","D","D","-"
"Romania","6.0","3.0","3.0","-"
"Russia","5.0","D","D","-"
"Sweden","5.0","D","D","-"
"Taiwan","5.0","D","D","-"
"United Kingdom","19.0","12.0","7.0","-"
"Venezuela","5.0","D","D","-"
"Other","60.0","24.0","36.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
