"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hanford-Corcoran, CA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","331.0","180.0","151.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","57.0","31.0","26.0","-"
"25 to 34 years","107.0","55.0","52.0","-"
"35 to 44 years","57.0","24.0","33.0","-"
"45 to 54 years","34.0","17.0","17.0","-"
"55 to 64 years","43.0","35.0","8.0","-"
"65 years and over","33.0","18.0","15.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","89.0","52.0","37.0","-"
"Married","219.0","119.0","100.0","-"
"Other","23.0","9.0","14.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","36.0","16.0","20.0","-"
"Service occupations","20.0","6.0","14.0","-"
"Sales and office occupations","14.0","5.0","9.0","-"
"Farming, fishing, and forestry occupations","17.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","14.0","14.0","-","-"
"Production, transportation, and material moving occupations","41.0","30.0","11.0","-"
"Military","17.0","D","D","-"
"No occupation/not working outside home","82.0","28.0","54.0","-"
"Homemakers","D","-","D","-"
"Students or children","24.0","D","D","-"
"Retirees","D","D","D","-"
"Unemployed","30.0","11.0","19.0","-"
"Unknown","90.0","52.0","38.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Argentina","D","D","-","-"
"Bangladesh","D","-","D","-"
"Brazil","3.0","D","D","-"
"Cameroon","D","D","D","-"
"China","5.0","D","D","-"
"Colombia","D","D","D","-"
"Cuba","D","D","D","-"
"El Salvador","4.0","D","D","-"
"Ghana","D","D","-","-"
"India","5.0","D","D","-"
"Kenya","3.0","D","D","-"
"Laos","3.0","-","3.0","-"
"Lebanon","4.0","D","D","-"
"Mexico","190.0","115.0","75.0","-"
"Peru","3.0","D","D","-"
"Philippines","63.0","19.0","44.0","-"
"Thailand","D","D","-","-"
"Trinidad and Tobago","D","D","-","-"
"Venezuela","3.0","D","D","-"
"Yemen","7.0","D","D","-"
"Other","24.0","12.0","12.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
