"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Hinesville-Fort Stewart, GA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","95.0","33.0","62.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","14.0","6.0","8.0","-"
"25 to 34 years","34.0","16.0","18.0","-"
"35 to 44 years","30.0","6.0","24.0","-"
"45 to 54 years","4.0","-","4.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","7.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","14.0","6.0","8.0","-"
"Married","69.0","24.0","45.0","-"
"Other","12.0","3.0","9.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","8.0","D","D","-"
"Service occupations","10.0","D","D","-"
"Sales and office occupations","5.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","D","-","D","-"
"Military","22.0","17.0","5.0","-"
"No occupation/not working outside home","20.0","D","D","-"
"Homemakers","8.0","D","D","-"
"Students or children","D","-","D","-"
"Retirees","-","-","-","-"
"Unemployed","D","-","D","-"
"Unknown","25.0","8.0","17.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bahamas, The","D","-","D","-"
"Barbados","3.0","D","D","-"
"Bolivia","D","D","-","-"
"Brazil","3.0","D","D","-"
"Cameroon","D","D","-","-"
"Colombia","3.0","-","3.0","-"
"Germany","10.0","4.0","6.0","-"
"India","D","-","D","-"
"Jamaica","8.0","3.0","5.0","-"
"Mexico","6.0","D","D","-"
"Micronesia, Federated States of","D","D","-","-"
"Nigeria","D","D","D","-"
"Panama","9.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","13.0","3.0","10.0","-"
"Romania","D","-","D","-"
"South Africa","D","D","-","-"
"Thailand","D","D","D","-"
"Trinidad and Tobago","4.0","D","D","-"
"Vietnam","D","-","D","-"
"Other","17.0","8.0","9.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
