"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Honolulu, HI","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","2684.0","1058.0","1626.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","298.0","169.0","129.0","-"
"25 to 34 years","868.0","298.0","570.0","-"
"35 to 44 years","666.0","247.0","419.0","-"
"45 to 54 years","397.0","159.0","238.0","-"
"55 to 64 years","246.0","99.0","147.0","-"
"65 years and over","209.0","86.0","123.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","628.0","372.0","256.0","-"
"Married","1797.0","628.0","1169.0","-"
"Other","259.0","58.0","201.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","473.0","177.0","296.0","-"
"Service occupations","628.0","257.0","371.0","-"
"Sales and office occupations","343.0","72.0","271.0","-"
"Farming, fishing, and forestry occupations","21.0","D","D","-"
"Construction, extraction, maintenance and repair occupations","53.0","D","D","-"
"Production, transportation, and material moving occupations","120.0","92.0","28.0","-"
"Military","107.0","87.0","20.0","-"
"No occupation/not working outside home","804.0","239.0","565.0","-"
"Homemakers","202.0","4.0","198.0","-"
"Students or children","175.0","65.0","110.0","-"
"Retirees","80.0","35.0","45.0","-"
"Unemployed","347.0","135.0","212.0","-"
"Unknown","135.0","67.0","68.0","-"
"","","","",""
"Leading countries of birth","","","",""
"American Samoa","34.0","15.0","19.0","-"
"Australia","14.0","7.0","7.0","-"
"Bangladesh","13.0","8.0","5.0","-"
"Brazil","33.0","15.0","18.0","-"
"Canada","38.0","19.0","19.0","-"
"China","246.0","96.0","150.0","-"
"Germany","23.0","8.0","15.0","-"
"Hong Kong","39.0","17.0","22.0","-"
"India","15.0","10.0","5.0","-"
"Indonesia","13.0","3.0","10.0","-"
"Japan","130.0","32.0","98.0","-"
"Korea, South","176.0","45.0","131.0","-"
"Mexico","55.0","28.0","27.0","-"
"Philippines","1222.0","481.0","741.0","-"
"Russia","15.0","5.0","10.0","-"
"Samoa","27.0","15.0","12.0","-"
"Taiwan","36.0","13.0","23.0","-"
"Thailand","54.0","10.0","44.0","-"
"United Kingdom","17.0","14.0","3.0","-"
"Vietnam","120.0","45.0","75.0","-"
"Other","364.0","172.0","192.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
