"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Kingsport-Bristol-Bristol, TN-VA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","66.0","26.0","40.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","7.0","D","D","-"
"25 to 34 years","13.0","5.0","8.0","-"
"35 to 44 years","19.0","5.0","14.0","-"
"45 to 54 years","12.0","6.0","6.0","-"
"55 to 64 years","6.0","D","D","-"
"65 years and over","9.0","4.0","5.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","12.0","5.0","7.0","-"
"Married","47.0","21.0","26.0","-"
"Other","7.0","-","7.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","18.0","12.0","6.0","-"
"Service occupations","11.0","D","D","-"
"Sales and office occupations","6.0","D","D","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","4.0","D","D","-"
"Military","-","-","-","-"
"No occupation/not working outside home","18.0","4.0","14.0","-"
"Homemakers","6.0","-","6.0","-"
"Students or children","D","D","4.0","-"
"Retirees","D","-","D","-"
"Unemployed","6.0","D","D","-"
"Unknown","9.0","3.0","6.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Algeria","D","D","-","-"
"Bahamas, The","D","D","-","-"
"Belgium","D","-","D","-"
"Bosnia and Herzegovina","D","D","-","-"
"Canada","3.0","D","D","-"
"China","6.0","3.0","3.0","-"
"Colombia","D","-","D","-"
"Cuba","D","-","D","-"
"Egypt","D","D","-","-"
"El Salvador","D","-","D","-"
"Ethiopia","D","-","D","-"
"Germany","5.0","D","D","-"
"Guatemala","D","-","D","-"
"India","11.0","6.0","5.0","-"
"Iran","D","D","D","-"
"Mexico","7.0","3.0","4.0","-"
"Peru","D","-","D","-"
"Philippines","5.0","-","5.0","-"
"South Africa","D","D","D","-"
"United Kingdom","D","D","D","-"
"Other","9.0","3.0","6.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
