"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lebanon, PA","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","118.0","55.0","63.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","13.0","6.0","7.0","-"
"25 to 34 years","38.0","18.0","20.0","-"
"35 to 44 years","30.0","16.0","14.0","-"
"45 to 54 years","17.0","6.0","11.0","-"
"55 to 64 years","14.0","6.0","8.0","-"
"65 years and over","6.0","3.0","3.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","28.0","12.0","16.0","-"
"Married","80.0","39.0","41.0","-"
"Other","10.0","4.0","6.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","22.0","10.0","12.0","-"
"Service occupations","14.0","7.0","7.0","-"
"Sales and office occupations","D","D","5.0","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","D","D","-","-"
"Production, transportation, and material moving occupations","30.0","17.0","13.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","26.0","6.0","20.0","-"
"Homemakers","D","D","3.0","-"
"Students or children","7.0","D","D","-"
"Retirees","D","D","-","-"
"Unemployed","14.0","D","D","-"
"Unknown","16.0","10.0","6.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Bangladesh","D","D","D","-"
"Cambodia","6.0","D","D","-"
"Canada","4.0","D","D","-"
"China","D","D","-","-"
"Colombia","D","D","D","-"
"Cuba","6.0","D","D","-"
"Dominican Republic","31.0","12.0","19.0","-"
"Egypt","6.0","3.0","3.0","-"
"El Salvador","D","D","-","-"
"Ghana","D","D","D","-"
"Haiti","7.0","3.0","4.0","-"
"India","12.0","5.0","7.0","-"
"Mexico","7.0","D","D","-"
"Morocco","5.0","D","D","-"
"Pakistan","4.0","D","D","-"
"Peru","D","-","D","-"
"Philippines","D","D","D","-"
"Poland","3.0","D","D","-"
"South Africa","D","D","D","-"
"Venezuela","D","D","D","-"
"Other","10.0","5.0","5.0","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
