"Persons Naturalized During Fiscal Year 2011","","","",""
"by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics","","","",""
"","","","",""
"CBSA: Lexington, NE","","","",""
"","","","",""
"Characteristic","Total","Male","Female","Unknown"
"Total","92.0","41.0","51.0","-"
"","","","",""
"Age","","","",""
"Under 18 years","-","-","-","-"
"18 to 24 years","12.0","D","D","-"
"25 to 34 years","31.0","15.0","16.0","-"
"35 to 44 years","27.0","8.0","19.0","-"
"45 to 54 years","9.0","D","D","-"
"55 to 64 years","9.0","6.0","3.0","-"
"65 years and over","4.0","D","D","-"
"Unknown","-","-","-","-"
"","","","",""
"Marital status","","","",""
"Single","27.0","16.0","11.0","-"
"Married","54.0","22.0","32.0","-"
"Other","11.0","3.0","8.0","-"
"Unknown","-","-","-","-"
"","","","",""
"Occupation","","","",""
"Management, professional, and related occupations","D","-","D","-"
"Service occupations","D","D","D","-"
"Sales and office occupations","-","-","-","-"
"Farming, fishing, and forestry occupations","-","-","-","-"
"Construction, extraction, maintenance and repair occupations","-","-","-","-"
"Production, transportation, and material moving occupations","60.0","30.0","30.0","-"
"Military","-","-","-","-"
"No occupation/not working outside home","12.0","D","D","-"
"Homemakers","D","-","D","-"
"Students or children","D","D","D","-"
"Retirees","-","-","-","-"
"Unemployed","8.0","D","D","-"
"Unknown","11.0","5.0","6.0","-"
"","","","",""
"Leading countries of birth","","","",""
"Chile","D","D","D","-"
"Colombia","D","D","-","-"
"El Salvador","3.0","D","D","-"
"Guatemala","14.0","7.0","7.0","-"
"Honduras","D","-","D","-"
"Kenya","D","D","-","-"
"Laos","D","-","D","-"
"Mexico","35.0","12.0","23.0","-"
"Somalia","31.0","16.0","15.0","-"
"Sudan","D","D","-","-"
"Vietnam","D","-","D","-"
"D  Data withheld to limit disclosure.","","","",""
"- Represents zero.","","","",""
"Source: U.S. Department of Homeland Security","","","",""
